Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_6_L1,BIAS_24_L1,RDP_L1,RDP_L2,RDP_L3
2018/2/14,2698.629883,4003740000,2643.623975,2757.891479,2936.50722,2579.275739,50.75290021,2698.508101,2723.298808,-24.79070662,-8.274341179,-16.51636544,1.340245826,1.836500352,-0.2791473,-2.298202476,0.5,0.583333333,59.697867,64.94228395,43.27780855,-5.428369244,35.68994141,2662.939941,0.511753715,-3.662410977,0.261292975,1.391458475,1.493609021
2018/2/15,2731.199951,3684910000,2673.663965,2754.549976,2932.536456,2576.563495,59.87404649,2703.537617,2723.884078,-20.34646113,-10.68876517,-9.657695964,1.206911276,2.745445496,1.208721149,-1.064762923,0.583333333,0.583333333,44.88682529,100,66.31502807,-3.232320471,32.57006836,2698.629883,1.836500352,-2.298202476,1.340245826,0.261292975,1.391458475
2018/2/16,2732.219971,3637460000,2696.197949,2750.645972,2926.987498,2574.304445,100,2707.950287,2724.501551,-16.55126484,-11.8612651,-4.689999735,0.037346937,1.81844853,1.533691344,-0.947051393,0.583333333,0.583333333,37.72087879,100,88.31409465,-3.243493223,1.020019531,2731.199951,2.745445496,-1.064762923,1.206911276,1.340245826,0.261292975
2018/2/20,2716.26001,3627610000,2708.249951,2744.810474,2917.556393,2572.064555,87.59233812,2709.228706,2723.891067,-14.66236132,-12.42148435,-2.240876975,-0.584138946,0.619304538,1.272152143,-1.436087612,0.583333333,0.583333333,44.29390176,89.44586428,96.48195476,-3.746304773,-15.95996094,2732.219971,1.81844853,-0.947051393,0.037346937,1.206911276,1.340245826
2018/2/21,2701.330078,3779400000,2715.927979,2737.920483,2905.998273,2569.842694,71.1605527,2708.013532,2722.219883,-14.20635042,-12.77845756,-1.427892859,-0.549650313,-0.213016439,0.906124482,-1.827587723,0.583333333,0.541666667,50.06635908,79.57287491,89.67291306,-2.201192821,-14.92993164,2716.26001,0.619304538,-1.436087612,-0.584138946,0.037346937,1.206911276
2018/2/22,2703.959961,3701270000,2716.993994,2731.241479,2893.468355,2569.014604,69.95140927,2707.389906,2720.867296,-13.47738997,-12.91824404,-0.559145926,0.097355108,-0.367486848,0.831668119,-1.591832796,0.666666667,0.583333333,32.11503313,74.91787578,81.31220499,2.077058021,2.629882813,2701.330078,-0.213016439,-1.827587723,-0.549650313,-0.584138946,0.037346937
2018/2/23,2747.300049,3189190000,2720.214014,2726.643982,2881.406441,2571.881523,72.03267883,2713.529928,2722.825277,-9.295349671,-12.19366517,2.898315498,1.602837635,0.927796768,2.282047793,0.081102316,0.666666667,0.583333333,0,100,84.83025023,1.93534133,43.34008789,2703.959961,-0.367486848,-1.591832796,0.097355108,-0.549650313,-0.584138946
2018/2/26,2779.600098,3424650000,2729.690039,2721.980481,2863.927229,2580.033733,71.96413892,2723.694569,2727.03082,-3.336250389,-10.42218221,7.085931824,1.175701534,1.812687863,3.171084129,1.339851326,0.75,0.583333333,0,100,91.63929193,3.652222458,32.30004883,2747.300049,0.927796768,0.081102316,1.602837635,0.097355108,-0.549650313
2018/2/27,2744.280029,3745080000,2735.294043,2716.517981,2845.622283,2587.413678,54.17360888,2726.861563,2728.308539,-1.446975773,-8.627140925,7.180165152,-1.270688844,0.445014041,1.348249443,0.196506805,0.75,0.541666667,17.78451712,56.37893709,85.4596457,6.326231278,-35.32006836,2779.600098,1.812687863,1.339851326,1.175701534,1.602837635,0.097355108
2018/2/28,2713.830078,4230660000,2737.794043,2711.087988,2830.703867,2591.47211,49.23572621,2724.856719,2727.23606,-2.379341045,-7.377580949,4.998239904,-1.109578864,-0.654776437,-0.066249569,-0.728424227,0.666666667,0.541666667,33.11681127,15.97035503,57.44976404,3.599092498,-30.44995117,2744.280029,0.445014041,0.196506805,-1.270688844,1.175701534,1.602837635
2018/3/1,2677.669922,4503970000,2732.536035,2703.780981,2812.300516,2595.261447,43.4350359,2717.597212,2723.564495,-5.967282528,-7.095521265,1.128238737,-1.332439954,-1.836788754,-1.463331256,-1.809340149,0.583333333,0.5,63.68643842,0,24.1164307,0.815885613,-36.16015625,2713.830078,-0.654776437,-0.728424227,-1.109578864,-1.270688844,1.175701534
2018/3/2,2691.25,3882450000,2721.326025,2697.244482,2791.280595,2603.20837,46.67540283,2713.543795,2721.170828,-7.627033497,-7.201823711,-0.425209786,0.507160274,-1.262266462,-1.049497401,-1.036731249,0.583333333,0.5,71.48060506,13.32292231,9.764425778,1.063112921,13.58007813,2677.669922,-1.836788754,-1.809340149,-1.332439954,-1.109578864,-1.270688844
2018/3/5,2720.939941,3710810000,2709.593994,2695.184985,2785.163296,2605.206675,42.57462784,2714.681663,2721.153726,-6.472062054,-7.05587138,0.583809326,1.103202653,-0.011823069,-0.026211981,0.258711126,0.583333333,0.541666667,50.2829399,42.45064742,18.59118991,0.826717985,29.68994141,2691.25,-1.262266462,-1.036731249,0.507160274,-1.332439954,-1.109578864
2018/3/6,2728.120117,3370690000,2706.362012,2699.143994,2787.589599,2610.698389,33.10806697,2716.749118,2721.669755,-4.920636649,-6.628824434,1.708187785,0.263885861,0.569120807,0.247058042,0.669041832,0.583333333,0.583333333,50.50514244,49.49485756,35.08947576,-0.112764867,7.180175781,2720.939941,-0.011823069,0.258711126,1.103202653,0.507160274,-1.332439954
2018/3/7,2726.800049,3393270000,2708.956006,2700.727002,2789.959094,2611.494909,42.61702751,2718.295415,2722.049776,-3.754361381,-6.053931823,2.299570442,-0.048387472,0.628529652,0.215183368,0.770635047,0.5,0.541666667,51.80021365,48.19978635,46.71509711,-0.198370627,-1.320068359,2728.120117,0.569120807,0.669041832,0.263885861,1.103202653,0.507160274
