Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_down_L1,BBands_down_L2,BIAS_6_L1,BIAS_24_L1
2019/8/22,2922.949951,2890880000,2912.043945,2922.533496,3030.241002,2814.82599,81.29041116,2909.884675,2924.240513,-14.35583777,-16.47716031,2.121322537,-0.050607486,0.746100799,0.796707362,-0.445048953,0.583333333,0.5,15.52993972,96.06845737,85.10527226,1.4289805,-1.479980469,2924.429932,2813.201338,2810.950027,1.276211378,-0.47043509
2019/8/23,2847.110107,3937300000,2903.72998,2913.595996,3015.005321,2812.186672,49.87776491,2900.227049,2918.52715,-18.30010022,-16.84174829,-1.458351929,-2.594633675,-1.865129187,-1.714460969,-2.837960044,0.5,0.458333333,93.32238135,7.594507688,67.1526506,-1.278437205,-75.83984375,2922.949951,2814.82599,2813.201338,0.746100799,-0.445048953
2019/8/26,2878.379883,2857600000,2894.675977,2906.466492,2996.0362,2816.896784,47.29826826,2896.865947,2915.553278,-18.68733116,-17.21086487,-1.476466299,1.098298774,-0.728575451,-0.46401703,-1.592994906,0.5,0.458333333,61.24752391,45.06723127,49.57673211,-2.032279586,31.26977539,2847.110107,2812.186672,2814.82599,-1.865129187,-2.837960044
2019/8/27,2869.159912,3533630000,2888.405957,2899.265491,2975.528978,2823.002004,33.47480028,2892.60348,2912.116732,-19.51325243,-17.67134238,-1.841910053,-0.320318064,-0.735649586,-0.641147185,-1.697600293,0.5,0.416666667,70.70487505,28.51766013,27.0597997,-1.695646682,-9.219970703,2878.379883,2816.896784,2812.186672,-0.728575451,-1.592994906
2019/8/28,2887.939941,3097420000,2881.107959,2894.643494,2961.279916,2828.007072,46.08432315,2891.886013,2910.325859,-18.4398465,-17.8250432,-0.614803298,0.654548017,-0.013445368,-0.005916604,-0.890422059,0.583333333,0.458333333,44.77384516,52.8064237,42.13043837,0.181773696,18.7800293,2869.159912,2823.002004,2816.896784,-0.735649586,-1.697600293
2019/8/29,2924.580078,3176190000,2881.433984,2893.194495,2955.78061,2830.608379,50.04333739,2896.915869,2911.381727,-14.46585834,-17.15320623,2.687347892,1.268729179,1.254235962,1.267821716,0.512576244,0.583333333,0.458333333,2.029853977,100,60.44136128,-0.059460011,36.64013672,2887.939941,2828.007072,2823.002004,-0.013445368,-0.890422059
2019/8/30,2926.459961,3008450000,2897.303955,2892.91499,2954.85106,2830.97892,51.01077494,2901.461114,2912.498633,-11.0375196,-15.9300689,4.892549303,0.064278726,1.298804026,1.082481668,0.71348923,0.666666667,0.5,0,100,84.2688079,3.022595942,1.879882813,2924.580078,2830.608379,2828.007072,1.254235962,0.512576244
2019/9/3,2906.27002,3426790000,2902.881982,2895.991492,2954.040803,2837.94218,75.07206489,2902.200945,2912.037255,-9.83630914,-14.71131695,4.875007811,-0.689910051,0.257752338,0.215863067,0.172224171,0.583333333,0.5,23.51499366,74.55579247,91.51859749,2.060328693,-20.18994141,2926.459961,2830.97892,2830.608379,1.298804026,0.71348923
2019/9/4,2937.780029,3163260000,2916.606006,2898.791992,2959.183694,2838.40029,75.12272086,2907.674651,2913.944127,-6.269476129,-13.02294879,6.753472658,1.084207921,0.999818561,1.159683425,1.320286933,0.583333333,0.541666667,0,100,91.51859749,1.69974171,31.51000977,2906.27002,2837.94218,2830.97892,0.257752338,0.172224171
2019/9/5,2976,3890700000,2934.218018,2903.392993,2972.028385,2834.757601,86.2858678,2918.186243,2918.540858,-0.354615268,-10.48928208,10.13466681,1.300981364,1.691266375,2.322045054,2.605357964,0.583333333,0.583333333,0,100,91.51859749,1.790573407,38.2199707,2937.780029,2838.40029,2837.94218,0.999818561,1.320286933
2019/9/6,2978.709961,3208280000,2945.043994,2905.423987,2980.177373,2830.670601,84.60544686,2927.497584,2922.997829,4.499755398,-7.491474587,11.99122999,0.091060515,1.260409275,2.186262976,2.629997954,0.666666667,0.625,0,100,100,2.696075894,2.709960938,2976,2834.757601,2838.40029,1.691266375,2.605357964
2019/9/9,2978.429932,4002890000,2955.437988,2908.412988,2989.550654,2827.275322,78.40487922,2935.33333,2927.10391,8.229419477,-4.347295774,12.57671525,-0.009401026,0.942911142,2.019164391,2.423771932,0.583333333,0.625,0.212788456,99.74438232,99.91479411,1.846513723,-0.280029297,2978.709961,2830.670601,2834.757601,1.260409275,2.629997954
2019/9/10,2979.389893,4390770000,2970.061963,2913.247485,2999.0679,2827.427071,78.1932477,2942.111263,2930.976946,11.13431648,-1.250973322,12.38528981,0.032230435,0.674451514,1.887902636,2.31367222,0.666666667,0.625,0,100,99.91479411,1.930923976,0.959960938,2978.429932,2827.275322,2830.670601,0.942911142,2.423771932
2019/9/11,3000.929932,3927550000,2982.691943,2916.977979,3010.855244,2823.100713,99.70591327,2951.160289,2936.158649,15.00163986,1.999549314,13.00209055,0.722968119,0.864588936,2.176622959,2.881207873,0.75,0.625,0,100,99.91479411,5.402665103,21.54003906,2979.389893,2827.427071,2827.275322,0.674451514,2.31367222
2019/9/12,3009.570068,3791860000,2989.405957,2925.426477,3020.691242,2830.161713,99.61295243,2960.146409,2941.596532,18.54987689,5.309614829,13.24026206,0.28791531,0.74982091,2.090788692,3.072175233,0.75,0.625,0,100,100,4.557778712,8.640136719,3000.929932,2823.100713,2827.427071,0.864588936,2.881207873
2019/9/13,3007.389893,3520060000,2995.141943,2933.415967,3028.032344,2838.79959,93.22449858,2967.414637,2946.470114,20.94452291,8.436596446,12.50792647,-0.072441436,0.500821967,1.619749725,2.867244924,0.75,0.625,1.552719432,97.88947265,99.29649088,4.817785857,-2.180175781,3009.570068,2830.161713,2823.100713,0.74982091,3.072175233
2019/9/16,2997.959961,4274640000,2999.047949,2938.879968,3035.138788,2842.621148,72.36797313,2972.113917,2950.284177,21.8297408,11.11522532,10.71451548,-0.313558666,0.078392939,0.988252428,2.376523193,0.666666667,0.625,8.268709139,83.82769034,93.905721,3.809636688,-9.429931641,3007.389893,2838.79959,2830.161713,0.500821967,2.867244924
2019/9/17,3005.699951,3671840000,3004.309961,2942.982471,3043.207365,2842.757577,77.00524158,2977.281,2954.389049,22.89195072,13.4705704,9.421380322,0.258175237,0.184768186,1.018944115,2.525035324,0.666666667,0.625,3.181873837,88.47152426,90.06289575,2.773727198,7.739990234,2997.959961,2842.621148,2838.79959,0.078392939,2.376523193
2019/9/18,3006.72998,3435540000,3005.469971,2948.293469,3050.196215,2846.390724,77.03710857,2981.811612,2958.266155,23.54545712,15.48554774,8.059909376,0.034269199,0.067117317,0.826886425,2.318581847,0.666666667,0.666666667,2.749357743,90.87965504,87.72628988,2.7429051,1.030029297,3005.699951,2842.757577,2842.621148,0.184768186,2.525035324
2019/9/19,3006.790039,3251290000,3004.913965,2952.411475,3056.75137,2848.071579,60.07572641,2985.654447,2961.860517,23.79393026,17.14722424,6.646706012,0.001997472,0.036599149,0.546464415,2.090190612,0.75,0.666666667,2.691217796,91.07252058,90.14123329,3.458729535,0.060058594,3006.72998,2846.390724,2842.757577,0.067117317,2.318581847
2019/9/20,2992.070068,6094740000,3001.85,2955.86748,3060.652987,2851.081974,25.11387624,2986.641466,2964.098261,22.54320436,18.22642027,4.316784097,-0.489557652,-0.356445391,-0.096909231,1.44202324,0.666666667,0.625,16.94094069,42.01491692,74.65569751,1.847995375,-14.7199707,3006.790039,2848.071579,2846.390724,0.036599149,2.090190612
2019/9/23,2991.780029,3186590000,3000.614014,2963.100977,3056.176309,2870.025644,26.54064605,2987.432014,2966.148763,21.28325128,18.83778647,2.445464813,-0.009693592,-0.279705403,-0.150434373,1.334661235,0.583333333,0.583333333,24.78065104,0,44.36247917,0.53024292,-0.290039063,2992.070068,2851.081974,2848.071579,-0.356445391,1.44202324
2019/9/24,2966.600098,3868160000,2992.794043,2967.511987,3052.082109,2882.941866,18.01320809,2984.227104,2966.182195,18.04490887,18.67921095,-0.634302082,-0.841637132,-0.946425719,-0.957447676,0.388156591,0.5,0.583333333,100,0,14.00497231,-0.406547245,-25.17993164,2991.780029,2870.025644,2851.081974,-0.279705403,1.334661235
2019/9/25,2984.870117,3318870000,2988.42207,2973.297498,3045.018148,2901.576847,32.51064911,2984.326029,2967.566485,16.75954348,18.29527746,-1.535733981,0.615857174,-0.220736427,-0.365339156,0.920400585,0.583333333,0.583333333,57.48188972,44.79066288,14.93022096,0.216227532,18.27001953,2966.600098,2882.941866,2870.025644,-0.946425719,0.388156591
2019/9/26,2977.620117,3077240000,2982.588086,2977.781506,3037.864623,2917.69839,27.86995998,2983.29435,2968.311199,14.98315129,17.63285222,-2.649700933,-0.242891641,-0.301398315,-0.602450167,0.59779488,0.5,0.583333333,74.35413767,27.41984473,24.0701692,-0.059400597,-7.25,2984.870117,2901.576847,2882.941866,-0.220736427,0.920400585
2019/9/27,2961.790039,3243650000,2976.53208,2979.642004,3035.150581,2924.133427,22.40619423,2979.985995,2967.82815,12.15784461,16.5378507,-4.380006088,-0.531635249,-0.581772321,-1.023117377,-0.098293906,0.416666667,0.583333333,100,0,24.0701692,-1.304258795,-15.83007813,2977.620117,2917.69839,2901.576847,-0.301398315,0.59779488
2019/9/30,2976.73999,3247610000,2973.524072,2982.156006,3032.075338,2932.236674,40.62610098,2979.486609,2968.488286,10.99832301,15.42994516,-4.431622151,0.504760668,0.005820749,-0.432490317,0.26736335,0.416666667,0.583333333,68.71087902,33.22211372,20.21398615,-1.090856082,14.94995117,2961.790039,2924.133427,2917.69839,-0.581772321,-0.098293906
2019/10/1,2940.25,3558040000,2968.254053,2983.855005,3024.841337,2942.868673,28.15968378,2973.450208,2966.396561,7.053646491,13.75468543,-6.701038937,-1.225837337,-0.934251867,-1.468630382,-1.060467156,0.416666667,0.583333333,100,0,11.07403791,-2.232497115,-36.48999023,2976.73999,2932.236674,2924.133427,0.005820749,0.26736335
2019/10/2,2887.610107,3912520000,2948.802051,2981.346509,3036.868978,2925.82404,22.84259528,2960.244039,2960.560528,-0.316489182,10.94045051,-11.25693969,-1.790320299,-2.27436656,-2.933534366,-2.831352334,0.416666667,0.541666667,100,0,11.07403791,-3.680831464,-52.63989258,2940.25,2942.868673,2932.236674,-0.934251867,-1.060467156
2019/10/3,2910.629883,3503640000,2935.404004,2978.078003,3041.595428,2914.560578,25.28286428,2952.611092,2956.861961,-4.25086993,7.902186419,-12.15305635,0.79719126,-1.081080319,-1.898471346,-2.037571455,0.416666667,0.541666667,80.68485602,22.0982938,7.366097934,-3.162992644,23.01977539,2887.610107,2925.82404,2942.868673,-2.27436656,-2.831352334
2019/10/4,2952.01001,2990830000,2933.447998,2976.743005,3041.265579,2912.220431,43.05242982,2952.518617,2956.502558,-3.983940219,5.524961091,-9.50890131,1.421689759,0.470984672,-0.350618078,-0.680436352,0.416666667,0.541666667,45.96413888,66.21416397,29.43748592,-1.819916356,41.38012695,2910.629883,2914.560578,2925.82404,-1.081080319,-2.037571455
2019/10/7,2938.790039,2940140000,2925.858008,2974.761011,3041.356549,2908.165472,43.67087587,2950.406528,2955.190519,-4.783990783,3.463170717,-8.2471615,-0.447829467,0.15171055,-0.606751451,-1.170273743,0.333333333,0.541666667,57.05658584,52.6217628,46.97807353,-2.261548,-13.2199707,2952.01001,2912.220431,2914.560578,0.470984672,-0.680436352
2019/10/8,2893.060059,3356450000,2916.42002,2970.444519,3045.884304,2895.004734,30.30872659,2941.583995,2950.588263,-9.004268263,0.969682921,-9.973951183,-1.55608192,-0.935888994,-1.879584181,-2.647141287,0.333333333,0.5,95.42712343,6.054827886,41.63025155,-3.309080586,-45.72998047,2938.790039,2908.165472,2912.220431,0.15171055,-1.170273743
