round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
80,0.00017045382992364466,0.0,5.9590185187119556e-05,0.004854369,64,80,30,50,1,0.01,Adam
80,0.0008644610643386841,0.0,0.0006410656095645164,0.004854369,64,80,30,50,1,0.001,Adam
80,0.00042546252370812,0.0,0.00031517086707697547,0.004854369,64,80,30,50,2,0.1,Adam
80,1.9090493879048154e-05,0.0,1.7998426239536308e-05,0.004854369,64,80,30,50,2,0.01,Adam
80,0.0003229495487175882,0.0,0.0003676678554733618,0.004854369,64,80,30,50,2,0.001,Adam
80,0.0001384257775498554,0.0,9.330767783273048e-05,0.004854369,64,80,30,70,1,0.1,Adam
80,3.150532575091347e-05,0.0,1.6919411208821932e-05,0.004854369,64,80,30,70,1,0.01,Adam
80,0.0010469612898305058,0.0,0.0009018706369159508,0.004854369,64,80,30,70,1,0.001,Adam
80,4.164514393778518e-05,0.0,0.00016065011308438062,0.004854369,64,80,30,70,2,0.1,Adam
80,1.775711825757753e-05,0.0,1.539282378677315e-05,0.004854369,64,80,30,70,2,0.01,Adam
80,0.0002938878023996949,0.0,0.0002229807446869,0.004854369,64,80,30,70,2,0.001,Adam
80,9.81585108092986e-05,0.0,6.768866394638272e-05,0.004854369,64,80,50,30,1,0.1,Adam
80,3.547774031176232e-05,0.0,2.464506627078557e-05,0.004854369,64,80,50,30,1,0.01,Adam
80,0.00042545664473436773,0.0,0.0004523772808770622,0.004854369,64,80,50,30,1,0.001,Adam
80,0.038891106843948364,0.0,0.021965016131696193,0.0,64,80,50,30,2,0.1,Adam
80,8.348012488568202e-05,0.0,2.2013646742477065e-05,0.004854369,64,80,50,30,2,0.01,Adam
80,0.0005711254780180752,0.0,0.0004097728685417113,0.004854369,64,80,50,30,2,0.001,Adam
80,5.2075647545279935e-05,0.0,0.00011977839757783284,0.004854369,64,80,50,50,1,0.1,Adam
80,2.9832799555151723e-05,0.0,1.3395112246055681e-05,0.004854369,64,80,50,50,1,0.01,Adam
80,0.000720611191354692,0.0,0.00039115042433603804,0.004854369,64,80,50,50,1,0.001,Adam
80,0.02365291677415371,0.0,0.021799303645503174,0.0,64,80,50,50,2,0.1,Adam
80,3.0063918529776856e-05,0.0,1.3685136561161043e-05,0.004854369,64,80,50,50,2,0.01,Adam
80,7.329099753405899e-05,0.0,0.0001838619828402761,0.004854369,64,80,50,50,2,0.001,Adam
80,4.74338885396719e-05,0.0,0.00045695004603843594,0.004854369,64,80,50,70,1,0.1,Adam
80,4.0138398617273197e-05,0.0,2.1373197686117035e-05,0.004854369,64,80,50,70,1,0.01,Adam
80,0.00013070438581053168,0.0,6.222827505553141e-05,0.004854369,64,80,50,70,1,0.001,Adam
80,0.0017291612457484007,0.0,0.0013596936014878735,0.004854369,64,80,50,70,2,0.1,Adam
80,0.00010046201350633055,0.0,2.23448891102255e-05,0.004854369,64,80,50,70,2,0.01,Adam
80,0.00012575442087836564,0.0,0.00011755751761793186,0.004854369,64,80,50,70,2,0.001,Adam
80,0.00017164796008728445,0.0,0.00022391920702450555,0.004854369,64,80,70,30,1,0.1,Adam
80,9.283774488721974e-06,0.0,2.0910362278318115e-05,0.004854369,64,80,70,30,1,0.01,Adam
80,0.000518124783411622,0.0,0.000244693365089315,0.004854369,64,80,70,30,1,0.001,Adam
80,0.0022235035430639982,0.0,0.0008544939309042128,0.004854369,64,80,70,30,2,0.1,Adam
80,2.2797381461714394e-05,0.0,1.3764964332773002e-05,0.004854369,64,80,70,30,2,0.01,Adam
80,0.00019162919488735497,0.0,0.0002421272980180361,0.004854369,64,80,70,30,2,0.001,Adam
80,0.00018633318541105837,0.0,0.000131676505279933,0.004854369,64,80,70,50,1,0.1,Adam
80,4.8401612730231136e-05,0.0,1.4530989274046909e-05,0.004854369,64,80,70,50,1,0.01,Adam
80,0.0002838985528796911,0.0,0.00025322352599881553,0.004854369,64,80,70,50,1,0.001,Adam
