Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,MA_20_L2,BBands_up_L1
2011/5/6,8977.230469,2796600,8979.428125,8889.394531,9127.951168,8650.837894,33.41175941,8945.985275,8865.267761,80.7175142,77.43969743,3.277816772,-0.458827704,-0.138172472,0.093244278,1.185136195,0.5,0.5,17.53579182,30.19328702,33.9085247,3.920573149,-41.37988281,9018.610352,8885.618994,8877.2875,9120.862702
2011/5/9,9035.480469,2852600,8984.950195,8896.441553,9143.369785,8649.51332,49.00898066,8959.753767,8877.87611,81.87765678,78.3272893,3.55036748,0.648863814,0.519651582,0.535153185,1.673524588,0.5,0.5,3.352696543,86.65354107,62.38286353,2.521197425,58.25,8977.230469,8889.394531,8885.618994,9127.951168
2011/5/10,9023.280273,2172800,9000.390234,8903.59209,9156.444491,8650.739689,53.13023193,8969.527075,8888.646789,80.88028673,78.83788878,2.042397945,-0.135025418,0.355250018,0.338345566,1.385004743,0.416666667,0.458333333,11.00553318,74.82819984,63.89167597,0.732668501,-12.20019531,9035.480469,8896.441553,8889.394531,9143.369785
2011/5/11,9020.400391,2358800,9015.000391,8917.982617,9162.903971,8673.061263,69.84624532,8977.353739,8898.406315,78.94742454,78.85979593,0.087628604,-0.031916141,0.185202566,0.25896652,1.272794839,0.333333333,0.416666667,27.96319785,78.48848002,79.99007364,0.568271394,-2.879882813,9023.280273,8903.59209,8896.441553,9156.444491
2011/5/12,9033.679688,2339800,9018.014258,8930.656592,9171.953741,8689.359442,71.66375863,8986.01927,8908.426565,77.5927052,78.60637779,-1.013672589,0.147214051,0.172609056,0.329497225,1.359313283,0.416666667,0.416666667,15.09191072,97.9857121,83.76746399,0.926511047,13.27929688,9020.400391,8917.982617,8903.59209,9162.903971
2011/5/13,9006.610352,2471800,9023.890234,8940.850586,9176.836646,8704.864526,46.13049502,8989.187129,8915.699438,73.48769082,77.58264039,-4.09494957,-0.299649056,-0.105403011,-0.025240926,1.002672112,0.416666667,0.416666667,41.32953448,67.70694514,81.39371242,0.65343977,-27.06933594,9033.679688,8930.656592,8917.982617,9171.953741
2011/5/16,8911.709961,1993800,8999.136133,8950.530078,9163.984319,8737.075837,34.29360676,8977.267564,8915.403921,61.86364338,74.43884099,-12.57519761,-1.053674878,-1.038107187,-0.952635552,-0.076247379,0.333333333,0.416666667,100,0,55.23088575,-1.519905396,-94.90039063,9006.610352,8940.850586,8930.656592,9176.836646
2011/5/17,8884.089844,2180000,8971.298047,8959.010547,9146.130874,8771.890219,7.462408078,8962.93253,8913.08436,49.84817072,69.52070694,-19.67253622,-0.309930612,-1.067620444,-1.11611797,-0.456398399,0.333333333,0.416666667,100,0,22.56898171,-1.733034859,-27.62011719,8911.709961,8950.530078,8940.850586,9163.984319
2011/5/18,8944.839844,2060600,8956.185938,8974.325049,9090.845542,8857.804555,32.6841572,8960.14904,8915.436618,44.71242239,64.55905003,-19.84662764,0.683806682,-0.245888002,-0.381703611,0.147310063,0.416666667,0.416666667,61.22662678,40.12798018,13.37599339,-0.699724492,60.75,8884.089844,8959.010547,8950.530078,9146.130874
2011/5/19,8892.879883,2573200,8928.025977,8978.305029,9076.555951,8880.054108,26.8631752,8949.799939,8913.765748,36.03419052,58.85407813,-22.8198876,-0.580893139,-0.589729471,-0.911455458,-0.476293557,0.416666667,0.375,94.19380225,5.80619775,15.31139264,-0.594676046,-51.95996094,8944.839844,8974.325049,8959.010547,9090.845542
2011/5/20,8837.030273,2277600,8894.109961,8972.274023,9088.093451,8856.454595,19.09480179,8932.45076,8908.081639,24.36912047,51.9570866,-27.58796613,-0.62802613,-0.850790345,-1.43278938,-1.156136134,0.333333333,0.375,100,0,15.31139264,-1.232983406,-55.84960938,8892.879883,8978.305029,8974.325049,9076.555951
2011/5/23,8747.509766,2123800,8861.269922,8961.178027,9112.914087,8809.441968,15.96161494,8903.998299,8896.187426,7.810872704,43.12784382,-35.31697111,-1.013015742,-1.37735382,-2.18481077,-2.172498906,0.25,0.375,100,0,1.93539925,-3.006012849,-89.52050781,8837.030273,8972.274023,8978.305029,9088.093451
2011/5/24,8756.610352,2153400,8835.774023,8951.471045,9127.524354,8775.417736,23.69416582,8881.32323,8885.848384,-4.525153563,33.59724434,-38.1223979,0.104036305,-0.986182927,-1.881332845,-2.124567588,0.333333333,0.416666667,96.83975285,3.180133635,1.060044545,-2.457552114,9.100585938,8747.509766,8961.178027,8972.274023,9112.914087
2011/5/25,8727.089844,2107400,8792.224023,8940.418555,9141.846712,8738.990397,23.54240312,8857.595017,8874.088492,-16.49347501,23.57910047,-40.07257548,-0.337122547,-1.027144955,-1.929707588,-2.415356532,0.25,0.375,100,0,1.060044545,-3.413107096,-29.52050781,8756.610352,8951.471045,8961.178027,9127.524354
2011/5/26,8788.400391,1908000,8771.328125,8927.376074,9132.670802,8722.081347,23.68657932,8846.94969,8867.741225,-20.79153537,14.7049733,-35.49650867,0.702531405,-0.036243294,-1.02302881,-1.652241599,0.333333333,0.375,80.11919238,28.15639351,10.44550905,-2.603043192,61.31054688,8727.089844,8940.418555,8951.471045,9141.846712
2011/5/27,8810,2083800,8765.92207,8915.837598,9120.281215,8711.39398,34.4736871,8841.265122,8863.464097,-22.19897524,7.324183595,-29.52315883,0.245774071,0.367138235,-0.583456431,-1.337184056,0.416666667,0.375,72.95730503,38.07584673,22.07741341,-2.332495028,21.59960938,8788.400391,8927.376074,8940.418555,9132.670802
2011/5/30,8823.679688,1871400,8781.156055,8906.628076,9110.251628,8703.004525,47.02965779,8838.559671,8860.517104,-21.9574334,1.467860197,-23.42529359,0.155274546,0.548471113,-0.232067182,-1.125359127,0.416666667,0.416666667,68.49541962,44.3581372,36.86345915,-2.324634117,13.6796875,8810,8915.837598,8927.376074,9120.281215
