round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
80,0.0012413165532052517,0.0,0.0014363482980648192,0.009756098,64,80,30,50,2,0.001,Adam
80,0.37162327766418457,0.0,0.5020352238562049,0.004878049,64,80,30,70,1,0.1,Adam
80,2.8279240723350085e-05,0.0,2.364461388646216e-05,0.009756098,64,80,30,70,1,0.01,Adam
80,0.0035533353220671415,0.0,0.002597963461288955,0.009756098,64,80,30,70,1,0.001,Adam
80,0.37162327766418457,0.0,0.5020352308343097,0.004878049,64,80,30,70,2,0.1,Adam
80,2.3817343389964662e-05,0.0,2.528304202558768e-05,0.009756098,64,80,30,70,2,0.01,Adam
80,0.0007776966085657477,0.0,0.000793715563699285,0.009756098,64,80,30,70,2,0.001,Adam
80,0.37162327766418457,0.0,0.5020352241469592,0.004878049,64,80,50,30,1,0.1,Adam
80,0.37162327766418457,0.0,0.5020352296712922,0.004878049,64,80,50,30,1,0.01,Adam
80,0.002742541953921318,0.0,0.0013981944358930356,0.009756098,64,80,50,30,1,0.001,Adam
80,0.37162327766418457,0.0,0.5020352287990291,0.004878049,64,80,50,30,2,0.1,Adam
80,3.258416472817771e-05,0.0,2.060671111216723e-05,0.009756098,64,80,50,30,2,0.01,Adam
80,0.0009065057383850217,0.0,0.0012255728775748937,0.009756098,64,80,50,30,2,0.001,Adam
80,0.37162327766418457,0.0,0.50203523752166,0.004878049,64,80,50,50,1,0.1,Adam
80,6.788868631701916e-05,0.0,2.8943153639130932e-05,0.009756098,64,80,50,50,1,0.01,Adam
80,0.0013949599815532565,0.0,0.0017805523284506507,0.009756098,64,80,50,50,1,0.001,Adam
80,0.37162327766418457,0.0,0.5020352253099767,0.004878049,64,80,50,50,2,0.1,Adam
80,1.3570755072578322e-05,0.0,2.399017988553657e-05,0.009756098,64,80,50,50,2,0.01,Adam
80,0.37162327766418457,0.0,0.5020352200763981,0.004878049,64,80,50,50,2,0.001,Adam
80,0.37162327766418457,0.0,0.5020352200763981,0.004878049,64,80,50,70,1,0.1,Adam
80,0.37162327766418457,0.0,0.5020352157150827,0.004878049,64,80,50,70,1,0.01,Adam
80,0.0020992292556911707,0.0,0.002446496388988524,0.009756098,64,80,50,70,1,0.001,Adam
80,0.37162327766418457,0.0,0.5020352322880814,0.004878049,64,80,50,70,2,0.1,Adam
