round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.003962974064052105,0.0,0.002047380859673977,0.009756098,64,50,50,50,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241203563969,0.004878049,64,50,50,70,1,0.1,Adam
50,0.0004938290221616626,0.0,0.0002969508814602727,0.009756098,64,50,50,70,1,0.01,Adam
50,0.005292685702443123,0.0,0.0018610328810698376,0.009756098,64,50,50,70,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241590267275,0.004878049,64,50,50,70,2,0.1,Adam
50,3.219594873371534e-05,0.0,8.167883959065033e-05,0.009756098,64,50,50,70,2,0.01,Adam
50,0.0036982346791774035,0.0,0.001707972621363474,0.009756098,64,50,50,70,2,0.001,Adam
50,0.5803253650665283,0.0,0.573424136347887,0.004878049,64,50,70,30,1,0.1,Adam
50,6.922095053596422e-05,0.0,0.00012522089698283775,0.009756098,64,50,70,30,1,0.01,Adam
50,0.003759575542062521,0.0,0.0021735143853442336,0.009756098,64,50,70,30,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241540839032,0.004878049,64,50,70,30,2,0.1,Adam
50,3.952702900278382e-05,0.0,6.201513031378343e-05,0.009756098,64,50,70,30,2,0.01,Adam
50,0.0040967813692986965,0.0,0.002122023760727266,0.009756098,64,50,70,30,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241357663783,0.004878049,64,50,70,50,1,0.1,Adam
50,7.091810402926058e-05,0.0,8.531703873503408e-05,0.009756098,64,50,70,50,1,0.01,Adam
50,0.003422357141971588,0.0,0.002189249717403294,0.009756098,64,50,70,50,1,0.001,Adam
50,0.005691724829375744,0.0,0.054849724289847586,0.004878049,64,50,70,50,2,0.1,Adam
50,1.7602658772375435e-05,0.0,6.064668101849171e-05,0.009756098,64,50,70,50,2,0.01,Adam
50,0.0028264604043215513,0.0,0.001452723239752941,0.009756098,64,50,70,50,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241503040965,0.004878049,64,50,70,70,1,0.1,Adam
50,0.00014079637185204774,0.0,0.0001256830142754153,0.009756098,64,50,70,70,1,0.01,Adam
50,0.004373008850961924,0.0,0.0025874580114671007,0.009756098,64,50,70,70,1,0.001,Adam
50,0.002486985409632325,0.0,0.001628366915974766,0.009756098,64,50,70,70,2,0.1,Adam
50,5.776317630079575e-05,0.0,8.622613521122442e-05,0.009756098,64,50,70,70,2,0.01,Adam
