round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
30,0.0814351886510849,0.0,0.00699682884214545,0.005181347,64,30,0.1,50,50,30,1,Adam
30,0.46246641874313354,0.0,0.01885142432311019,0.005181347,64,30,0.1,50,50,30,2,Adam
30,0.07538239657878876,0.0,0.009205354634887138,0.005181347,64,30,0.1,50,50,50,1,Adam
30,0.3886459767818451,0.0,0.01712823384248415,0.005181347,64,30,0.1,50,50,50,2,Adam
30,0.04650592803955078,0.0,0.005251241217390272,0.005181347,64,30,0.1,50,50,70,1,Adam
30,0.7540912628173828,0.0,0.06834084142501336,0.005181347,64,30,0.1,50,50,70,2,Adam
30,0.02985481545329094,0.0,0.006889151901469947,0.005181347,64,30,0.1,50,70,30,1,Adam
30,0.43169069290161133,0.0,0.01815331443526584,0.005181347,64,30,0.1,50,70,30,2,Adam
30,0.4131902754306793,0.0,0.0164704641394819,0.005181347,64,30,0.1,50,70,50,1,Adam
30,0.7540912628173828,0.0,0.0683408434565512,0.005181347,64,30,0.1,50,70,50,2,Adam
30,0.07587087154388428,0.0,0.004694216875021631,0.005181347,64,30,0.1,50,70,70,1,Adam
30,0.7540912628173828,0.0,0.06834084444095434,0.005181347,64,30,0.1,50,70,70,2,Adam
30,0.29438892006874084,0.0,0.008713278870600145,0.005181347,64,30,0.1,70,30,30,1,Adam
30,0.4701519012451172,0.0,0.017712670306004392,0.005181347,64,30,0.1,70,30,30,2,Adam
30,0.3134021759033203,0.0,0.01581418853967301,0.005181347,64,30,0.1,70,30,50,1,Adam
30,0.4495368003845215,0.0,0.01777089439655794,0.005181347,64,30,0.1,70,30,50,2,Adam
30,0.4100344777107239,0.0,0.0170046979045119,0.005181347,64,30,0.1,70,30,70,1,Adam
30,0.7540912628173828,0.0,0.06834084110170448,0.005181347,64,30,0.1,70,30,70,2,Adam
30,0.359370619058609,0.0,0.01659593652026641,0.005181347,64,30,0.1,70,50,30,1,Adam
30,0.4144496023654938,0.0,0.017001125067617223,0.005181347,64,30,0.1,70,50,30,2,Adam
30,0.45546406507492065,0.0,0.017534839607984215,0.005181347,64,30,0.1,70,50,50,1,Adam
30,0.7540912628173828,0.0,0.06834084486559883,0.005181347,64,30,0.1,70,50,50,2,Adam
30,0.25386255979537964,0.0,0.009210520072290047,0.005181347,64,30,0.1,70,50,70,1,Adam
30,0.7540912628173828,0.0,0.0683408434469002,0.005181347,64,30,0.1,70,50,70,2,Adam
30,0.0864996537566185,0.0,0.006314138082034616,0.005181347,64,30,0.1,70,70,30,1,Adam
30,0.4688168466091156,0.0,0.021663079979235954,0.005181347,64,30,0.1,70,70,30,2,Adam
30,0.1081450954079628,0.0,0.005176547122154134,0.005181347,64,30,0.1,70,70,50,1,Adam
30,0.7540912628173828,0.0,0.06834082637426149,0.005181347,64,30,0.1,70,70,50,2,Adam
30,0.05334744602441788,0.0,0.00491841791144577,0.005181347,64,30,0.1,70,70,70,1,Adam
30,0.3903037905693054,0.0,0.018229413767938785,0.005181347,64,30,0.1,70,70,70,2,Adam
30,0.08031590282917023,0.0,0.0030417259977985694,0.005181347,64,30,0.01,30,30,30,1,Adam
30,0.059188298881053925,0.0,0.004399106177921199,0.005181347,64,30,0.01,30,30,30,2,Adam
30,0.07903999835252762,0.0,0.0030061013929044028,0.005181347,64,30,0.01,30,30,50,1,Adam
30,0.10137768089771271,0.0,0.003478237367452272,0.005181347,64,30,0.01,30,30,50,2,Adam
30,0.0902085155248642,0.0,0.011132182179433849,0.005181347,64,30,0.01,30,30,70,1,Adam
30,0.09348325431346893,0.0,0.003110952091456386,0.005181347,64,30,0.01,30,30,70,2,Adam
30,0.12137310206890106,0.0,0.003489753638118886,0.005181347,64,30,0.01,30,50,30,1,Adam
30,0.06586925685405731,0.0,0.0031646195041507945,0.005181347,64,30,0.01,30,50,30,2,Adam
30,0.07809926569461823,0.0,0.004179590239932693,0.005181347,64,30,0.01,30,50,50,1,Adam
30,0.08731488883495331,0.0,0.0029999345946342833,0.005181347,64,30,0.01,30,50,50,2,Adam
30,0.08995548635721207,0.0,0.0032455806796549977,0.005181347,64,30,0.01,30,50,70,1,Adam
