round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.01141782384365797,0.0,0.002511355043354152,0.0049751243,64,20,0.1,50,30,30,2,Adam
20,0.0036254399456083775,0.0,0.0016262319671054978,0.0049751243,64,20,0.1,50,30,50,1,Adam
20,0.0012256607878953218,0.0,0.0011494718057645569,0.0049751243,64,20,0.1,50,30,50,2,Adam
20,0.004047219641506672,0.0,0.0020254175659426632,0.0049751243,64,20,0.1,50,30,70,1,Adam
20,0.0018111445242539048,0.0,0.0017512458274071452,0.0049751243,64,20,0.1,50,30,70,2,Adam
20,0.0014817838091403246,0.0,0.001613022323433699,0.0049751243,64,20,0.1,50,50,30,1,Adam
20,0.0012934060068801045,0.0,0.0013772296089104455,0.0049751243,64,20,0.1,50,50,30,2,Adam
20,0.0017092302441596985,0.0,0.0010870315139737926,0.0049751243,64,20,0.1,50,50,50,1,Adam
20,0.0011839132057502866,0.0,0.000763886609920926,0.0049751243,64,20,0.1,50,50,50,2,Adam
20,8.319450716953725e-05,0.0,0.0016428877846268353,0.0049751243,64,20,0.1,50,50,70,1,Adam
20,0.052287645637989044,0.0,0.022450587568591484,0.0049751243,64,20,0.1,50,50,70,2,Adam
20,0.002197575755417347,0.0,0.0021329602245148734,0.0049751243,64,20,0.1,50,70,30,1,Adam
20,0.0016433540731668472,0.0,0.0013647699576283606,0.0049751243,64,20,0.1,50,70,30,2,Adam
20,0.00033001540577970445,0.0,0.000970620885827296,0.0049751243,64,20,0.1,50,70,50,1,Adam
20,0.00037635318585671484,0.0,0.001298751322951038,0.0049751243,64,20,0.1,50,70,50,2,Adam
20,0.0070661515928804874,0.0,0.007205556327504898,0.0049751243,64,20,0.1,50,70,70,1,Adam
20,0.0037146538961678743,0.0,0.00325749884707047,0.0049751243,64,20,0.1,50,70,70,2,Adam
20,0.002075240248814225,0.0,0.0029160077000194374,0.0049751243,64,20,0.1,70,30,30,1,Adam
20,0.004869980737566948,0.0,0.00134841104696009,0.0049751243,64,20,0.1,70,30,30,2,Adam
20,0.0015843812143430114,0.0,0.0015809764849272236,0.0049751243,64,20,0.1,70,30,50,1,Adam
20,0.0034960031043738127,0.0,0.0035922244174952677,0.0049751243,64,20,0.1,70,30,50,2,Adam
20,0.04810669273138046,0.0,0.022430300916457056,0.0049751243,64,20,0.1,70,30,70,1,Adam
20,0.0005377474008128047,0.0,0.0007305330022316964,0.0049751243,64,20,0.1,70,30,70,2,Adam
20,0.0045233359560370445,0.0,0.0027147734662823714,0.0049751243,64,20,0.1,70,50,30,1,Adam
20,0.04255494475364685,0.0,0.022071580421086864,0.0049751243,64,20,0.1,70,50,30,2,Adam
20,0.030404716730117798,0.0,0.0164083888550377,0.0049751243,64,20,0.1,70,50,50,1,Adam
20,0.035638321191072464,0.0,0.02232473167539829,0.0049751243,64,20,0.1,70,50,50,2,Adam
20,0.0011427381541579962,0.0,0.0018315048377488309,0.0049751243,64,20,0.1,70,50,70,1,Adam
20,0.047546595335006714,0.0,0.022453617730840522,0.0049751243,64,20,0.1,70,50,70,2,Adam
20,0.002026923466473818,0.0,0.0009461569000934413,0.0049751243,64,20,0.1,70,70,30,1,Adam
20,0.006085903849452734,0.0,0.003828560511827172,0.0049751243,64,20,0.1,70,70,30,2,Adam
