round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_3_nodes,lstm_layers,optimizer
50,4.337230711826123e-05,0.0,4.0587719498926695e-05,0.004854369,64,50,0.01,50,30,70,2,Adam
50,6.753446359653026e-05,0.0,6.371140168164292e-05,0.004854369,64,50,0.01,50,30,70,3,Adam
50,5.6785687775118276e-05,0.0,5.7026816012667836e-05,0.004854369,64,50,0.01,50,50,30,1,Adam
50,3.3817098028521286e-06,0.0,3.966585370893952e-05,0.004854369,64,50,0.01,50,50,30,2,Adam
50,7.216613994387444e-06,0.0,3.657174582841232e-05,0.004854369,64,50,0.01,50,50,30,3,Adam
50,5.5525044444948435e-05,0.0,4.150995032300097e-05,0.004854369,64,50,0.01,50,50,50,1,Adam
50,7.02886245562695e-05,0.0,5.085819862623026e-05,0.004854369,64,50,0.01,50,50,50,2,Adam
50,3.0804116249782965e-05,0.0,5.185420336911016e-05,0.004854369,64,50,0.01,50,50,50,3,Adam
50,1.6531981600564905e-05,0.0,2.9638018231619674e-05,0.004854369,64,50,0.01,50,50,70,1,Adam
50,1.4888275472912937e-05,0.0,4.758551921379002e-05,0.004854369,64,50,0.01,50,50,70,2,Adam
50,6.72833266435191e-05,0.0,6.755255817905299e-05,0.004854369,64,50,0.01,50,50,70,3,Adam
50,6.951034447411075e-05,0.0,7.720759734104487e-05,0.004854369,64,50,0.01,50,70,30,1,Adam
50,1.5862771761021577e-05,0.0,4.401654700151852e-05,0.004854369,64,50,0.01,50,70,30,2,Adam
50,2.3065595087246038e-05,0.0,3.9680560821050196e-05,0.004854369,64,50,0.01,50,70,30,3,Adam
50,5.223278276389465e-05,0.0,5.333824107933166e-05,0.004854369,64,50,0.01,50,70,50,1,Adam
50,4.732867091661319e-05,0.0,3.865666173438618e-05,0.004854369,64,50,0.01,50,70,50,2,Adam
50,8.874069862940814e-06,0.0,4.2306733553894586e-05,0.004854369,64,50,0.01,50,70,50,3,Adam
50,5.8055178669746965e-05,0.0,5.799875428953244e-05,0.004854369,64,50,0.01,50,70,70,1,Adam
50,8.442519174423069e-06,0.0,4.048077085137919e-05,0.004854369,64,50,0.01,50,70,70,2,Adam
50,4.7112980610108934e-06,0.0,4.974616919391284e-05,0.004854369,64,50,0.01,50,70,70,3,Adam
50,3.968959936173633e-05,0.0,3.6455900521352165e-05,0.004854369,64,50,0.01,70,30,30,1,Adam
50,6.63202372379601e-05,0.0,3.3869486614297147e-05,0.004854369,64,50,0.01,70,30,30,2,Adam
50,1.0306311196472961e-05,0.0,8.611706709540088e-05,0.004854369,64,50,0.01,70,30,30,3,Adam
