round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.007569329,0,0.013020504,0.004975124,64,20,0.001,30,70,30,1,Adam
20,0.005442587,0,0.012307657,0.004975124,64,20,0.001,30,70,30,2,Adam
20,0.005972449,0,0.011237659,0.004975124,64,20,0.001,30,70,50,1,Adam
20,0.005073431,0,0.010139719,0.004975124,64,20,0.001,30,70,50,2,Adam
20,0.005777656,0,0.012557718,0.004975124,64,20,0.001,30,70,70,1,Adam
20,0.005837275,0,0.010701475,0.004975124,64,20,0.001,30,70,70,2,Adam
20,0.004817919,0,0.012122591,0.004975124,64,20,0.001,50,30,30,1,Adam
20,0.00537067,0,0.014533242,0,64,20,0.001,50,30,30,2,Adam
20,0.004377894,0,0.011348709,0.004975124,64,20,0.001,50,30,50,1,Adam
20,0.006243287,0,0.013086354,0,64,20,0.001,50,30,50,2,Adam
20,0.003600273,0,0.009192059,0.004975124,64,20,0.001,50,30,70,1,Adam
20,0.004050978,0,0.011200742,0.004975124,64,20,0.001,50,30,70,2,Adam
20,0.004109354,0,0.011889857,0.004975124,64,20,0.001,50,50,30,1,Adam
20,0.0041215,0,0.012169558,0.004975124,64,20,0.001,50,50,30,2,Adam
20,0.004222109,0,0.010371832,0.004975124,64,20,0.001,50,50,50,1,Adam
20,0.005773928,0,0.012197722,0.004975124,64,20,0.001,50,50,50,2,Adam
20,0.005889223,0,0.009676573,0.004975124,64,20,0.001,50,50,70,1,Adam
20,0.005587847,0,0.009487751,0.004975124,64,20,0.001,50,50,70,2,Adam
20,0.008128797,0,0.011441821,0.004975124,64,20,0.001,50,70,30,1,Adam
20,0.004484107,0,0.012299163,0.004975124,64,20,0.001,50,70,30,2,Adam
20,0.004920203,0,0.010394947,0.004975124,64,20,0.001,50,70,50,1,Adam
20,0.002002902,0,0.01040116,0.004975124,64,20,0.001,50,70,50,2,Adam
20,0.003110139,0,0.008414487,0.004975124,64,20,0.001,50,70,70,1,Adam
20,0.001895331,0,0.009935386,0.004975124,64,20,0.001,50,70,70,2,Adam
20,0.003722375,0,0.009700575,0.004975124,64,20,0.001,70,30,30,1,Adam
20,0.004413647,0,0.012129895,0.004975124,64,20,0.001,70,30,30,2,Adam
20,0.005131524,0,0.010616911,0.004975124,64,20,0.001,70,30,50,1,Adam
20,0.005894727,0,0.012517336,0.004975124,64,20,0.001,70,30,50,2,Adam
20,0.002734985,0,0.009024937,0.004975124,64,20,0.001,70,30,70,1,Adam
20,0.004468523,0,0.010875647,0.004975124,64,20,0.001,70,30,70,2,Adam
20,0.005204932,0,0.01120178,0.004975124,64,20,0.001,70,50,30,1,Adam
20,0.002281296,0,0.010870152,0.004975124,64,20,0.001,70,50,30,2,Adam
20,0.002454418,0,0.009795442,0.004975124,64,20,0.001,70,50,50,1,Adam
20,0.002677302,0,0.009844539,0.004975124,64,20,0.001,70,50,50,2,Adam
20,0.002982217,0,0.008776888,0.004975124,64,20,0.001,70,50,70,1,Adam
20,0.003726207,0,0.010968791,0.004975124,64,20,0.001,70,50,70,2,Adam
20,0.005090436,0,0.011506045,0.004975124,64,20,0.001,70,70,30,1,Adam
20,0.002937404,0,0.010865282,0.004975124,64,20,0.001,70,70,30,2,Adam
20,0.005140983,0,0.009173348,0.004975124,64,20,0.001,70,70,50,1,Adam
20,0.001423963,0,0.00985919,0.004975124,64,20,0.001,70,70,50,2,Adam
20,0.003214557,0,0.008718398,0.004975124,64,20,0.001,70,70,70,1,Adam
20,0.002937314,0,0.00923099,0.004975124,64,20,0.001,70,70,70,2,Adam
50,0.000276902,0,7.64E-05,0.004975124,64,50,0.1,30,30,30,1,Adam
50,0.000141491,0,0.000138128,0.004975124,64,50,0.1,30,30,30,2,Adam
50,0.000507794,0,0.001197326,0.004975124,64,50,0.1,30,30,50,1,Adam
50,9.42E-05,0,6.62E-05,0.004975124,64,50,0.1,30,30,50,2,Adam
50,0.000150982,0,0.000281497,0.004975124,64,50,0.1,30,30,70,1,Adam
50,4.83E-05,0,0.000104995,0.004975124,64,50,0.1,30,30,70,2,Adam
50,0.00013509,0,8.98E-05,0.004975124,64,50,0.1,30,50,30,1,Adam
50,2.30E-05,0,0.00069785,0.004975124,64,50,0.1,30,50,30,2,Adam
50,2.55E-05,0,5.12E-05,0.004975124,64,50,0.1,30,50,50,1,Adam
50,0.000207181,0,4.51E-05,0.004975124,64,50,0.1,30,50,50,2,Adam
50,9.83E-05,0,0.000120591,0.004975124,64,50,0.1,30,50,70,1,Adam
50,0.000337197,0,0.003483426,0.004975124,64,50,0.1,30,50,70,2,Adam
50,5.16E-05,0,0.000212819,0.004975124,64,50,0.1,30,70,30,1,Adam
50,5.08E-05,0,3.73E-05,0.004975124,64,50,0.1,30,70,30,2,Adam
50,9.63E-05,0,0.000263244,0.004975124,64,50,0.1,30,70,50,1,Adam
50,0.000176637,0,0.000137334,0.004975124,64,50,0.1,30,70,50,2,Adam
50,0.000368078,0,0.000554059,0.004975124,64,50,0.1,30,70,70,1,Adam
50,9.83E-05,0,0.000133372,0.004975124,64,50,0.1,30,70,70,2,Adam
50,0.000318,0,0.000333495,0.004975124,64,50,0.1,50,30,30,1,Adam
50,0.000903423,0,0.000180431,0.004975124,64,50,0.1,50,30,30,2,Adam
50,0.04950263,0,0.006779704,0.004975124,64,50,0.1,50,30,50,1,Adam
50,4.77E-05,0,0.000243677,0.004975124,64,50,0.1,50,30,50,2,Adam
50,0.003020667,0,0.005483155,0.004975124,64,50,0.1,50,30,70,1,Adam
50,0.02944237,0,0.02152497,0,64,50,0.1,50,30,70,2,Adam
50,2.09E-05,0,0.000132426,0.004975124,64,50,0.1,50,50,30,1,Adam
50,2.50E-05,0,6.33E-05,0.004975124,64,50,0.1,50,50,30,2,Adam
50,0.00025955,0,0.000659547,0.004975124,64,50,0.1,50,50,50,1,Adam
50,0.000372624,0,0.00031883,0.004975124,64,50,0.1,50,50,50,2,Adam
50,0.00010266,0,0.000353214,0.004975124,64,50,0.1,50,50,70,1,Adam
50,2.36E-05,0,0.000166201,0.004975124,64,50,0.1,50,50,70,2,Adam
50,0.00015075,0,0.000206065,0.004975124,64,50,0.1,50,70,30,1,Adam
50,9.56E-05,0,0.000375062,0.004975124,64,50,0.1,50,70,30,2,Adam
50,3.92E-05,0,0.000515291,0.004975124,64,50,0.1,50,70,50,1,Adam
50,2.83E-05,0,0.000268468,0.004975124,64,50,0.1,50,70,50,2,Adam
50,0.000114937,0,0.000474638,0.004975124,64,50,0.1,50,70,70,1,Adam
50,3.74E-05,0,5.81E-05,0.004975124,64,50,0.1,50,70,70,2,Adam
50,0.000137353,0,0.000555377,0.004975124,64,50,0.1,70,30,30,1,Adam
50,0.000141191,0,0.000125628,0.004975124,64,50,0.1,70,30,30,2,Adam
50,0.026604682,0,0.021591094,0,64,50,0.1,70,30,50,1,Adam
50,0.000412527,0,0.000102049,0.004975124,64,50,0.1,70,30,50,2,Adam
50,0.023691945,0,0.021487214,0,64,50,0.1,70,30,70,1,Adam
50,0.022345578,0,0.021479483,0,64,50,0.1,70,30,70,2,Adam
50,0.000968747,0,0.001014759,0.004975124,64,50,0.1,70,50,30,1,Adam
50,0.014925437,0,0.00951246,0.004975124,64,50,0.1,70,50,30,2,Adam
50,0.000257651,0,0.000915608,0.004975124,64,50,0.1,70,50,50,1,Adam
50,0.001540253,0,0.000810961,0.004975124,64,50,0.1,70,50,50,2,Adam
50,0.021752605,0,0.021471596,0,64,50,0.1,70,50,70,1,Adam
50,0.024026901,0,0.021576548,0,64,50,0.1,70,50,70,2,Adam
50,0.02686133,0,0.021603799,0,64,50,0.1,70,70,30,1,Adam
50,0.029815946,0,0.022246993,0,64,50,0.1,70,70,30,2,Adam
50,0.029266182,0,0.021779831,0,64,50,0.1,70,70,50,1,Adam
50,0.01004754,0,0.008585929,0.004975124,64,50,0.1,70,70,50,2,Adam
50,0.029162377,0,0.021382272,0,64,50,0.1,70,70,70,1,Adam
50,0.02746493,0,0.021725086,0,64,50,0.1,70,70,70,2,Adam
50,0.000134479,0,0.000142194,0.004975124,64,50,0.01,30,30,30,1,Adam
50,6.77E-05,0,0.00014659,0.004975124,64,50,0.01,30,30,30,2,Adam
50,0.000121858,0,0.000138005,0.004975124,64,50,0.01,30,30,50,1,Adam
50,6.88E-05,0,9.70E-05,0.004975124,64,50,0.01,30,30,50,2,Adam
50,5.14E-05,0,0.000199955,0.004975124,64,50,0.01,30,30,70,1,Adam
50,5.27E-05,0,0.000119014,0.004975124,64,50,0.01,30,30,70,2,Adam
50,4.58E-05,0,0.000130308,0.004975124,64,50,0.01,30,50,30,1,Adam
50,3.98E-05,0,9.17E-05,0.004975124,64,50,0.01,30,50,30,2,Adam
50,3.35E-05,0,0.00012362,0.004975124,64,50,0.01,30,50,50,1,Adam
50,0.000130099,0,0.000118647,0.004975124,64,50,0.01,30,50,50,2,Adam
50,4.09E-05,0,0.000128901,0.004975124,64,50,0.01,30,50,70,1,Adam
50,0.000483812,0,0.000308465,0.004975124,64,50,0.01,30,50,70,2,Adam
50,0.000121634,0,0.000134122,0.004975124,64,50,0.01,30,70,30,1,Adam
50,0.000178447,0,0.000225091,0.004975124,64,50,0.01,30,70,30,2,Adam
50,0.000348952,0,0.000128892,0.004975124,64,50,0.01,30,70,50,1,Adam
50,0.000121293,0,0.000110507,0.004975124,64,50,0.01,30,70,50,2,Adam
50,3.17E-05,0,0.000141917,0.004975124,64,50,0.01,30,70,70,1,Adam
50,7.53E-05,0,0.000105858,0.004975124,64,50,0.01,30,70,70,2,Adam
50,3.44E-05,0,0.000127747,0.004975124,64,50,0.01,50,30,30,1,Adam
50,3.00E-05,0,9.36E-05,0.004975124,64,50,0.01,50,30,30,2,Adam
50,0.000134835,0,0.000146269,0.004975124,64,50,0.01,50,30,50,1,Adam
