round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.01168186403810978,0.0,0.028446497023105623,0.01,64,20,0.001,30,30,50,1,Adam
20,0.020273882895708084,0.0,0.03250844158232212,0.01,64,20,0.001,30,30,50,2,Adam
20,0.012897877022624016,0.0,0.02732879117131233,0.01,64,20,0.001,30,30,70,1,Adam
20,0.008031534031033516,0.0,0.023535678684711455,0.01,64,20,0.001,30,30,70,2,Adam
20,0.026647547259926796,0.0,0.0400197371840477,0.01,64,20,0.001,30,50,30,1,Adam
20,0.015761274844408035,0.0,0.02770763948559761,0.01,64,20,0.001,30,50,30,2,Adam
20,0.015960799530148506,0.0,0.031321788989007476,0.01,64,20,0.001,30,50,50,1,Adam
20,0.010780373588204384,0.0,0.023904451355338096,0.01,64,20,0.001,30,50,50,2,Adam
20,0.008874617516994476,0.0,0.027740462087094783,0.01,64,20,0.001,30,50,70,1,Adam
20,0.0049875820986926556,0.0,0.019491252452135087,0.01,64,20,0.001,30,50,70,2,Adam
20,0.021506186574697495,0.0,0.034608876258134844,0.01,64,20,0.001,30,70,30,1,Adam
20,0.012742148712277412,0.0,0.02806015357375145,0.01,64,20,0.001,30,70,30,2,Adam
20,0.0206092931330204,0.0,0.032968026399612424,0.01,64,20,0.001,30,70,50,1,Adam
20,0.008752860128879547,0.0,0.024315203577280044,0.01,64,20,0.001,30,70,50,2,Adam
20,0.01887497678399086,0.0,0.0313818696141243,0.01,64,20,0.001,30,70,70,1,Adam
20,0.0036469604820013046,0.0,0.021579932272434234,0.01,64,20,0.001,30,70,70,2,Adam
20,0.013102076947689056,0.0,0.026088457144796847,0.01,64,20,0.001,50,30,30,1,Adam
20,0.014919442124664783,0.0,0.02885464668273926,0.01,64,20,0.001,50,30,30,2,Adam
20,0.0035912771709263325,0.0,0.021504006385803222,0.01,64,20,0.001,50,30,50,1,Adam
20,0.013256071135401726,0.0,0.027978425025939942,0.01,64,20,0.001,50,30,50,2,Adam
20,0.002312658354640007,0.0,0.019948265925049783,0.01,64,20,0.001,50,30,70,1,Adam
20,0.007985838688910007,0.0,0.023842288851737975,0.01,64,20,0.001,50,30,70,2,Adam
20,0.010991697199642658,0.0,0.027653704062104226,0.01,64,20,0.001,50,50,30,1,Adam
20,0.01118446420878172,0.0,0.025969821214675903,0.01,64,20,0.001,50,50,30,2,Adam
20,0.008128789253532887,0.0,0.022609147634357216,0.01,64,20,0.001,50,50,50,1,Adam
20,0.005262058228254318,0.0,0.018616912737488747,0.01,64,20,0.001,50,50,50,2,Adam
20,0.0027416078373789787,0.0,0.017943721562623978,0.01,64,20,0.001,50,50,70,1,Adam
20,0.0020194603130221367,0.0,0.01752933084964752,0.01,64,20,0.001,50,50,70,2,Adam
20,0.013372920453548431,0.0,0.02910953976213932,0.01,64,20,0.001,50,70,30,1,Adam
20,0.007939507253468037,0.0,0.024674720466136932,0.01,64,20,0.001,50,70,30,2,Adam
