round_epochs,loss,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.012021952,128,50,0.001,30,30,2,Adam
50,0.010890389,128,50,0.001,30,50,1,Adam
50,0.009711442,128,50,0.001,30,50,2,Adam
50,0.01108945,128,50,0.001,30,70,1,Adam
50,0.009432659,128,50,0.001,30,70,2,Adam
50,0.008312392,128,50,0.001,50,30,1,Adam
50,0.010795291,128,50,0.001,50,30,2,Adam
50,0.009388401,128,50,0.001,50,50,1,Adam
50,0.009982375,128,50,0.001,50,50,2,Adam
50,0.010220231,128,50,0.001,50,70,1,Adam
50,0.008141404,128,50,0.001,50,70,2,Adam
50,0.00893707,128,50,0.001,70,30,1,Adam
50,0.008981018,128,50,0.001,70,30,2,Adam
50,0.00900275,128,50,0.001,70,50,1,Adam
50,0.007647208,128,50,0.001,70,50,2,Adam
50,0.009485353,128,50,0.001,70,70,1,Adam
50,0.007487299,128,50,0.001,70,70,2,Adam
80,0.001542147,128,80,0.1,30,30,1,Adam
80,0.001388131,128,80,0.1,30,30,2,Adam
80,0.001628089,128,80,0.1,30,50,1,Adam
80,0.001337447,128,80,0.1,30,50,2,Adam
80,0.001585325,128,80,0.1,30,70,1,Adam
80,0.001281077,128,80,0.1,30,70,2,Adam
80,0.001903302,128,80,0.1,50,30,1,Adam
80,0.00153695,128,80,0.1,50,30,2,Adam
80,0.001692998,128,80,0.1,50,50,1,Adam
80,0.002402999,128,80,0.1,50,50,2,Adam
80,0.001110531,128,80,0.1,50,70,1,Adam
80,0.002230673,128,80,0.1,50,70,2,Adam
80,0.00080114,128,80,0.1,70,30,1,Adam
80,0.000663903,128,80,0.1,70,30,2,Adam
80,0.001302516,128,80,0.1,70,50,1,Adam
80,0.002825624,128,80,0.1,70,50,2,Adam
80,0.00062357,128,80,0.1,70,70,1,Adam
80,0.022167873,128,80,0.1,70,70,2,Adam
80,0.000913092,128,80,0.01,30,30,1,Adam
80,0.00093825,128,80,0.01,30,30,2,Adam
80,0.000872021,128,80,0.01,30,50,1,Adam
80,0.00103503,128,80,0.01,30,50,2,Adam
80,0.000675059,128,80,0.01,30,70,1,Adam
80,0.001381273,128,80,0.01,30,70,2,Adam
80,0.000646147,128,80,0.01,50,30,1,Adam
80,0.001244569,128,80,0.01,50,30,2,Adam
80,0.000648065,128,80,0.01,50,50,1,Adam
80,0.000744124,128,80,0.01,50,50,2,Adam
80,0.000914235,128,80,0.01,50,70,1,Adam
80,0.000726854,128,80,0.01,50,70,2,Adam
80,0.000965712,128,80,0.01,70,30,1,Adam
80,0.000718156,128,80,0.01,70,30,2,Adam
80,0.000515297,128,80,0.01,70,50,1,Adam
80,0.00080354,128,80,0.01,70,50,2,Adam
80,0.000697838,128,80,0.01,70,70,1,Adam
80,0.000657327,128,80,0.01,70,70,2,Adam
80,0.006854416,128,80,0.001,30,30,1,Adam
80,0.007794022,128,80,0.001,30,30,2,Adam
80,0.009363079,128,80,0.001,30,50,1,Adam
80,0.007053488,128,80,0.001,30,50,2,Adam
80,0.007520102,128,80,0.001,30,70,1,Adam
80,0.006406608,128,80,0.001,30,70,2,Adam
80,0.005878225,128,80,0.001,50,30,1,Adam
80,0.005790134,128,80,0.001,50,30,2,Adam
80,0.005310059,128,80,0.001,50,50,1,Adam
80,0.004667673,128,80,0.001,50,50,2,Adam
80,0.006711489,128,80,0.001,50,70,1,Adam
80,0.00483208,128,80,0.001,50,70,2,Adam
80,0.005634683,128,80,0.001,70,30,1,Adam
80,0.005188187,128,80,0.001,70,30,2,Adam
80,0.006200024,128,80,0.001,70,50,1,Adam
80,0.004711885,128,80,0.001,70,50,2,Adam
80,0.005621041,128,80,0.001,70,70,1,Adam
80,0.003512293,128,80,0.001,70,70,2,Adam
