round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.018117044121026993,0.0,0.0018950614248378537,0.0051282053,128,50,0.001,50,30,1,Adam
50,0.02212666906416416,0.0,0.0024770003492729023,0.0051282053,128,50,0.001,50,30,2,Adam
50,0.010674513876438141,0.0,0.001204330018028999,0.0051282053,128,50,0.001,50,50,1,Adam
50,0.019000854343175888,0.0,0.0024041040310970483,0.0051282053,128,50,0.001,50,50,2,Adam
80,0.009269881062209606,0.0,0.00026520881697368354,0.0051282053,128,80,0.1,30,30,1,Adam
80,0.0002913080679718405,0.0,2.5592488787086227e-05,0.0051282053,128,80,0.1,30,30,2,Adam
80,0.0037418254651129246,0.0,7.565327090187332e-05,0.0051282053,128,80,0.1,30,50,1,Adam
80,0.001661284826695919,0.0,5.089528019128081e-05,0.0051282053,128,80,0.1,30,50,2,Adam
80,0.007358217146247625,0.0,0.00025894094268994356,0.0051282053,128,80,0.1,50,30,1,Adam
80,0.00969675462692976,0.0,0.00046465708799540805,0.0051282053,128,80,0.1,50,30,2,Adam
80,0.012551295571029186,0.0,0.00032966390449123886,0.0051282053,128,80,0.1,50,50,1,Adam
80,0.0011202776804566383,0.0,0.0001697378422996292,0.0051282053,128,80,0.1,50,50,2,Adam
80,0.0003740093088708818,0.0,6.889710493851453e-05,0.0051282053,128,80,0.01,30,30,1,Adam
80,1.7345057131024078e-05,0.0,6.532641937389063e-05,0.0051282053,128,80,0.01,30,30,2,Adam
80,0.0003034397668670863,0.0,6.599479387753094e-05,0.0051282053,128,80,0.01,30,50,1,Adam
80,5.9522972151171416e-05,0.0,5.7125341845676304e-05,0.0051282053,128,80,0.01,30,50,2,Adam
80,0.00010857275628950447,0.0,5.069814259723688e-05,0.0051282053,128,80,0.01,50,30,1,Adam
80,4.115129559068009e-05,0.0,4.755101997430663e-05,0.0051282053,128,80,0.01,50,30,2,Adam
80,0.00024463742738589644,0.0,5.523859133693175e-05,0.0051282053,128,80,0.01,50,50,1,Adam
80,3.410855424590409e-05,0.0,4.931327257042703e-05,0.0051282053,128,80,0.01,50,50,2,Adam
80,0.01191827841103077,0.0,0.0012901938257691187,0.0051282053,128,80,0.001,30,30,1,Adam
80,0.007447139360010624,0.0,0.001306695680325039,0.0051282053,128,80,0.001,30,30,2,Adam
80,0.012802687473595142,0.0,0.0015630612800566432,0.0051282053,128,80,0.001,30,50,1,Adam
80,0.009768746793270111,0.0,0.001298423658292263,0.0051282053,128,80,0.001,30,50,2,Adam
80,0.00887688435614109,0.0,0.0012248594600420732,0.0051282053,128,80,0.001,50,30,1,Adam
80,0.007410021033138037,0.0,0.0010501438235410322,0.0051282053,128,80,0.001,50,30,2,Adam
80,0.01343340240418911,0.0,0.0014165087680642803,0.0051282053,128,80,0.001,50,50,1,Adam
80,0.005629515275359154,0.0,0.0011087267558114269,0.0051282053,128,80,0.001,50,50,2,Adam
