round_epochs,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.0005296856773934853,0.006802721,64,20,0.1,50,70,30,2,Adam
20,0.008788449296943184,0.006802721,64,20,0.1,50,70,50,1,Adam
20,0.00033028599864337593,0.006802721,64,20,0.1,50,70,50,2,Adam
20,0.0006127755199622388,0.006802721,64,20,0.1,50,70,70,1,Adam
20,0.0009808851561198633,0.006802721,64,20,0.1,50,70,70,2,Adam
20,0.002706115602889434,0.006802721,64,20,0.1,70,30,30,1,Adam
20,0.0004914496937405546,0.006802721,64,20,0.1,70,30,30,2,Adam
20,0.007287640802460868,0.006802721,64,20,0.1,70,30,50,1,Adam
20,0.0012030119648944512,0.006802721,64,20,0.1,70,30,50,2,Adam
20,0.014214483634600428,0.006802721,64,20,0.1,70,30,70,1,Adam
20,0.00056612709530021,0.006802721,64,20,0.1,70,30,70,2,Adam
20,0.01075135758716841,0.006802721,64,20,0.1,70,50,30,1,Adam
20,0.005372621936305445,0.006802721,64,20,0.1,70,50,30,2,Adam
20,0.0036849003320015006,0.006802721,64,20,0.1,70,50,50,1,Adam
20,0.011022648514330793,0.006802721,64,20,0.1,70,50,50,2,Adam
20,0.02368843794933387,0.0,64,20,0.1,70,50,70,1,Adam
20,0.0003100439176940657,0.006802721,64,20,0.1,70,50,70,2,Adam
20,0.012473656029320088,0.006802721,64,20,0.1,70,70,30,1,Adam
20,0.023695641830816967,0.0,64,20,0.1,70,70,30,2,Adam
20,0.023539622675399392,0.0,64,20,0.1,70,70,50,1,Adam
20,0.023586280795992638,0.0,64,20,0.1,70,70,50,2,Adam
20,0.00915842574900713,0.006802721,64,20,0.1,70,70,70,1,Adam
20,0.007995217724950338,0.006802721,64,20,0.1,70,70,70,2,Adam
20,0.0005443389655200156,0.006802721,64,20,0.01,30,30,30,1,Adam
20,0.0008247888650583597,0.006802721,64,20,0.01,30,30,30,2,Adam
20,0.0006332588166261383,0.006802721,64,20,0.01,30,30,50,1,Adam
20,0.0008612191264967427,0.006802721,64,20,0.01,30,30,50,2,Adam
20,0.0009329592350547259,0.006802721,64,20,0.01,30,30,70,1,Adam
20,0.0005285609141308941,0.006802721,64,20,0.01,30,30,70,2,Adam
20,0.0006186813638754645,0.006802721,64,20,0.01,30,50,30,1,Adam
20,0.0004973305960670494,0.006802721,64,20,0.01,30,50,30,2,Adam
20,0.0006493551713623563,0.006802721,64,20,0.01,30,50,50,1,Adam
20,0.0004016788497996409,0.006802721,64,20,0.01,30,50,50,2,Adam
20,0.0004921320920452146,0.006802721,64,20,0.01,30,50,70,1,Adam
20,0.0005713733557380457,0.006802721,64,20,0.01,30,50,70,2,Adam
20,0.00040318486774712487,0.006802721,64,20,0.01,30,70,30,1,Adam
20,0.00045921412145332466,0.006802721,64,20,0.01,30,70,30,2,Adam
20,0.00044993751753219817,0.006802721,64,20,0.01,30,70,50,1,Adam
20,0.0009916970838133726,0.006802721,64,20,0.01,30,70,50,2,Adam
20,0.0011900921366462599,0.006802721,64,20,0.01,30,70,70,1,Adam
20,0.00065194721354273,0.006802721,64,20,0.01,30,70,70,2,Adam
20,0.0006086229965198456,0.006802721,64,20,0.01,50,30,30,1,Adam
20,0.0009339513042529881,0.006802721,64,20,0.01,50,30,30,2,Adam
20,0.00045759934273890545,0.006802721,64,20,0.01,50,30,50,1,Adam
20,0.0007356144935304463,0.006802721,64,20,0.01,50,30,50,2,Adam
20,0.00047418869201087575,0.006802721,64,20,0.01,50,30,70,1,Adam
20,0.00078843740570568,0.006802721,64,20,0.01,50,30,70,2,Adam
20,0.00043125664118398615,0.006802721,64,20,0.01,50,50,30,1,Adam
20,0.0009809483050964266,0.006802721,64,20,0.01,50,50,30,2,Adam
20,0.00057144375335026,0.006802721,64,20,0.01,50,50,50,1,Adam
20,0.0005052177558992007,0.006802721,64,20,0.01,50,50,50,2,Adam
20,0.00034692016781424966,0.006802721,64,20,0.01,50,50,70,1,Adam
20,0.0007720466067247904,0.006802721,64,20,0.01,50,50,70,2,Adam
20,0.0005147185661278817,0.006802721,64,20,0.01,50,70,30,1,Adam
20,0.0005781724732242474,0.006802721,64,20,0.01,50,70,30,2,Adam
20,0.0005297254864839191,0.006802721,64,20,0.01,50,70,50,1,Adam
20,0.0004565362827646464,0.006802721,64,20,0.01,50,70,50,2,Adam
20,0.00046669229465935914,0.006802721,64,20,0.01,50,70,70,1,Adam
20,0.0002529701023191518,0.006802721,64,20,0.01,50,70,70,2,Adam
20,0.0008455376559710067,0.006802721,64,20,0.01,70,30,30,1,Adam
20,0.0006352969366886026,0.006802721,64,20,0.01,70,30,30,2,Adam
20,0.000539253956042737,0.006802721,64,20,0.01,70,30,50,1,Adam
20,0.00045205210394948264,0.006802721,64,20,0.01,70,30,50,2,Adam
20,0.0003591974823795842,0.006802721,64,20,0.01,70,30,70,1,Adam
20,0.0014560938512646676,0.006802721,64,20,0.01,70,30,70,2,Adam
20,0.0004195669217694069,0.006802721,64,20,0.01,70,50,30,1,Adam
20,0.0007306646979746542,0.006802721,64,20,0.01,70,50,30,2,Adam
20,0.0004890736453409376,0.006802721,64,20,0.01,70,50,50,1,Adam
20,0.00031122400298267983,0.006802721,64,20,0.01,70,50,50,2,Adam
20,0.00035593667585120795,0.006802721,64,20,0.01,70,50,70,1,Adam
20,0.001041514132580511,0.006802721,64,20,0.01,70,50,70,2,Adam
20,0.0008452890700578284,0.006802721,64,20,0.01,70,70,30,1,Adam
20,0.0006250611923755381,0.006802721,64,20,0.01,70,70,30,2,Adam
20,0.0007754380254036918,0.006802721,64,20,0.01,70,70,50,1,Adam
20,0.0008508633934262329,0.006802721,64,20,0.01,70,70,50,2,Adam
20,0.00039364107833782426,0.006802721,64,20,0.01,70,70,70,1,Adam
20,0.000709970524656542,0.006802721,64,20,0.01,70,70,70,2,Adam
20,0.016682393025277423,0.0,64,20,0.001,30,30,30,1,Adam
20,0.019089691898449748,0.0,64,20,0.001,30,30,30,2,Adam
20,0.016630327658487015,0.0,64,20,0.001,30,30,50,1,Adam
20,0.018005193046414528,0.0,64,20,0.001,30,30,50,2,Adam
20,0.01644329644334154,0.0,64,20,0.001,30,30,70,1,Adam
20,0.018300648335190045,0.0,64,20,0.001,30,30,70,2,Adam
20,0.01840361989527738,0.0,64,20,0.001,30,50,30,1,Adam
20,0.018090269997158424,0.0,64,20,0.001,30,50,30,2,Adam
20,0.015719839929267256,0.0,64,20,0.001,30,50,50,1,Adam
20,0.017168479211324333,0.0,64,20,0.001,30,50,50,2,Adam
20,0.014471526593476737,0.006802721,64,20,0.001,30,50,70,1,Adam
20,0.01684622348723363,0.0,64,20,0.001,30,50,70,2,Adam
20,0.01779853712235178,0.0,64,20,0.001,30,70,30,1,Adam
20,0.01720419012605637,0.0,64,20,0.001,30,70,30,2,Adam
20,0.017064865900292284,0.0,64,20,0.001,30,70,50,1,Adam
20,0.016686196964816984,0.0,64,20,0.001,30,70,50,2,Adam
20,0.016222748119814865,0.0,64,20,0.001,30,70,70,1,Adam
20,0.014300758114122614,0.006802721,64,20,0.001,30,70,70,2,Adam
20,0.014895458160867903,0.0,64,20,0.001,50,30,30,1,Adam
20,0.017864952459424533,0.0,64,20,0.001,50,30,30,2,Adam
20,0.01522641089193675,0.0,64,20,0.001,50,30,50,1,Adam
20,0.016815108278778947,0.0,64,20,0.001,50,30,50,2,Adam
20,0.012834888224040164,0.006802721,64,20,0.001,50,30,70,1,Adam
20,0.01620501453424392,0.0,64,20,0.001,50,30,70,2,Adam
20,0.01580216994090956,0.0,64,20,0.001,50,50,30,1,Adam
20,0.01670850595446671,0.0,64,20,0.001,50,50,30,2,Adam
