round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.004230571445077658,0.0,0.0056699972861961835,0.004854369,128,50,0.1,30,50,1,Adam
50,8.402860112255439e-05,0.0,0.0008973439994892015,0.004854369,128,50,0.1,30,50,2,Adam
50,0.004649729002267122,0.0,0.0037884323211224043,0.004854369,128,50,0.1,50,30,1,Adam
50,0.002829721663147211,0.0,0.001754040938340923,0.004854369,128,50,0.1,50,30,2,Adam
50,0.029978018254041672,0.0,0.02182114967009396,0.0,128,50,0.1,50,50,1,Adam
50,0.003616519970819354,0.0,0.0022508161373038607,0.004854369,128,50,0.1,50,50,2,Adam
50,0.0004899809136986732,0.0,0.00034567136944777975,0.004854369,128,50,0.01,30,30,1,Adam
50,0.0006622519576922059,0.0,0.0005328553094126248,0.004854369,128,50,0.01,30,30,2,Adam
50,0.0002787250268738717,0.0,0.00024001747135240223,0.004854369,128,50,0.01,30,50,1,Adam
50,0.00020643489551730454,0.0,0.00026729291144451033,0.004854369,128,50,0.01,30,50,2,Adam
50,0.0005690953694283962,0.0,0.00030095537997854564,0.004854369,128,50,0.01,50,30,1,Adam
50,0.000260311207966879,0.0,0.0003863931856755601,0.004854369,128,50,0.01,50,30,2,Adam
50,0.0005871318862773478,0.0,0.0003666711515674675,0.004854369,128,50,0.01,50,50,1,Adam
50,0.0003936589346267283,0.0,0.0002401276932095711,0.004854369,128,50,0.01,50,50,2,Adam
50,0.001812243601307273,0.0,0.002208660093353139,0.004854369,128,50,0.001,30,30,1,Adam
50,0.0027180761098861694,0.0,0.0027691943512198705,0.004854369,128,50,0.001,30,30,2,Adam
50,0.0026973981875926256,0.0,0.0022301538214449163,0.004854369,128,50,0.001,30,50,1,Adam
50,0.0031612939201295376,0.0,0.0026251408994848865,0.004854369,128,50,0.001,30,50,2,Adam
50,0.0018284317338839173,0.0,0.0018391653927024997,0.004854369,128,50,0.001,50,30,1,Adam
50,0.0034439810551702976,0.0,0.003269983991275279,0.004854369,128,50,0.001,50,30,2,Adam
50,0.0011883547995239496,0.0,0.001596122532540444,0.004854369,128,50,0.001,50,50,1,Adam
50,0.003312230110168457,0.0,0.0033889116439064153,0.004854369,128,50,0.001,50,50,2,Adam
80,0.00035533407935872674,0.0,0.00014437320746721032,0.004854369,128,80,0.1,30,30,1,Adam
80,8.532417996320873e-05,0.0,0.0018122536469323254,0.004854369,128,80,0.1,30,30,2,Adam
80,0.008625122718513012,0.0,0.006090930387269235,0.004854369,128,80,0.1,30,50,1,Adam
80,4.249388075550087e-05,0.0,0.00018335040743480826,0.004854369,128,80,0.1,30,50,2,Adam
80,0.0010695921955630183,0.0,0.000558448846630517,0.004854369,128,80,0.1,50,30,1,Adam
80,0.0001061537186615169,0.0,0.00020050075291136045,0.004854369,128,80,0.1,50,30,2,Adam
80,0.018224213272333145,0.0,0.010628930211645885,0.004854369,128,80,0.1,50,50,1,Adam
80,1.9279674233985133e-05,0.0,0.0002737727843550513,0.004854369,128,80,0.1,50,50,2,Adam
80,5.365728429751471e-05,0.0,6.265725703961985e-05,0.004854369,128,80,0.01,30,30,1,Adam
80,4.9315509386360645e-05,0.0,5.9623333319763936e-05,0.004854369,128,80,0.01,30,30,2,Adam
80,7.341805030591786e-05,0.0,3.94281598293444e-05,0.004854369,128,80,0.01,30,50,1,Adam
80,4.842977432417683e-05,0.0,6.223655770898986e-05,0.004854369,128,80,0.01,30,50,2,Adam
80,0.0001475207245675847,0.0,8.996716087053358e-05,0.004854369,128,80,0.01,50,30,1,Adam
80,4.958941281074658e-05,0.0,6.781919470545157e-05,0.004854369,128,80,0.01,50,30,2,Adam
80,7.097780326148495e-05,0.0,6.860458177347097e-05,0.004854369,128,80,0.01,50,50,1,Adam
