Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/8/10,16735.11914,113800000,16532,16522.12148,16923.10738,16121.13559,66.83122384,16502.33438,16373.07085,129.2635301,115.2450069,14.01852328,-0.178059139,1.688831237,1.494524721,2.295478059,0.5,0.541666667,4.377958395,95.62204161,97.7241224,0.690903014,-29.8515625,16764.9707,2.83313098
2016/8/12,16919.91992,119100000,16665.00605,16556.546,16969.82299,16143.269,96.6245488,16566.57831,16413.57819,153.0001207,122.7960296,30.20409105,1.10426929,1.947781853,2.337617338,2.99392892,0.583333333,0.583333333,0,100,98.54068054,3.27704676,184.8007813,16735.11914,2.295478059
2016/8/15,16869.56055,83700000,16788.02813,16580.72949,17007.61294,16153.84604,89.60652911,16613.19096,16447.35466,165.8363013,131.404084,34.43221737,-0.297633649,1.020786105,1.927841646,2.230368899,0.5,0.583333333,6.01802092,93.98197908,96.53467356,1.22857751,-50.359375,16919.91992,2.99392892
2016/8/16,16596.50977,110000000,16777.21602,16585.6625,17010.87789,16160.44711,66.31056234,16610.62463,16458.40319,152.2214369,135.5675546,16.65388239,-1.61860044,-0.952480308,0.217651045,0.35073813,0.5,0.541666667,38.64799923,61.35200077,85.11132662,0.72629171,-273.0507813,16869.56055,2.230368899
2016/8/17,16745.64063,117400000,16773.35,16586.779,17013.54867,16160.00934,55.9300807,16631.39632,16479.68004,151.716282,138.7973,12.91898194,0.898567599,-0.156885873,1.028510498,1.086920622,0.5,0.541666667,20.82663763,73.81108563,76.38168849,1.064447008,149.1308594,16596.50977,0.35073813
2016/8/18,16486.00977,130400000,16723.52813,16576.98496,17003.56473,16150.4052,35.26859939,16609.02916,16480.14891,128.8802512,136.8138903,-7.933639069,-1.5504385,-1.431650884,-0.462929722,-0.544054909,0.416666667,0.5,51.85291512,34.79640937,56.65316526,-0.900227461,-259.6308594,16745.64063,1.086920622
2016/8/19,16545.82031,121900000,16648.7082,16563.76494,16976.78514,16150.74474,40.31008992,16599.30472,16485.01345,114.291265,132.3093652,-18.01810022,0.362795775,-0.887089018,-0.17934427,-0.223343804,0.5,0.5,44.70546498,13.78408549,40.7971935,0.94177819,59.81054688,16486.00977,-0.544054909
2016/8/22,16598.18945,95300000,16594.43398,16562.31191,16974.63239,16149.99143,30.94807406,16599.13314,16493.39686,105.7362783,126.9947478,-21.25846953,0.316509787,-0.252994163,-0.12204139,0.067230388,0.583333333,0.5,38.44727405,25.85320622,24.81123369,3.202608763,52.36914063,16545.82031,-0.223343804
2016/8/23,16497.35938,107600000,16574.60391,16556.16543,16968.51062,16143.82024,29.20250835,16583.47564,16493.69038,89.78525654,119.5528496,-29.76759303,-0.607476366,-0.48796154,-0.849330173,-0.484170225,0.5,0.458333333,50.49661976,2.615658844,14.08431685,1.491672548,-100.8300781,16598.18945,0.067230388
2016/8/24,16597.30078,91100000,16544.93594,16566.87847,16971.7407,16162.01624,50.05480127,16585.60258,16501.36523,84.23735729,112.4897511,-28.25239383,0.605802444,0.11408868,-0.419666037,0.139989917,0.583333333,0.5,48.47991242,25.64840072,18.03908859,2.109272118,99.94140625,16497.35938,-0.484170225
