Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1,BIAS_24_L2
2014/6/3,15034.25,145900000,14791.04395,14394.52095,14992.00077,13797.04113,90.69779431,14621.18747,14498.77738,122.4100956,34.30528811,88.10480752,0.658346313,1.821570223,3.614168575,4.457286758,0.75,0.583333333,0,100,97.42840754,6.651680773,98.33007813,14935.91992,3.956166335,2.000536788
2014/6/4,15067.95996,132000000,14870.4459,14446.24644,15087.26877,13805.2241,90.69270489,14689.9217,14540.93905,148.9826519,57.24076086,91.74189099,0.224221101,1.555302881,3.217224461,4.45571393,0.833333333,0.625,0,100,100,7.578795887,33.70996094,15034.25,4.457286758,3.956166335
2014/6/5,15079.37012,127900000,14949.97598,14492.02593,15175.20839,13808.84346,90.27018699,14749.83684,14580.82283,169.0140101,79.5954107,89.41859936,0.075724625,1.168067102,2.706676128,4.30125005,0.833333333,0.625,0,100,100,7.133941615,11.41015625,15067.95996,4.45571393,4.457286758
2014/6/6,15077.24023,134800000,15038.94805,14535.90845,15250.35016,13821.46673,89.67425057,14800.20659,14617.59449,182.6121033,100.1987492,82.41335412,-0.014124481,0.708384381,2.092381835,4.108859775,0.833333333,0.583333333,0.205349249,99.52350574,99.84116858,7.37115644,-2.129882813,15079.37012,4.30125005,4.45571393
2014/6/9,15124,107300000,15076.56406,14584.63247,15319.64396,13849.62098,99.57048413,14850.02096,14655.10601,194.9149543,119.1419902,75.77296405,0.310134779,0.470843332,1.956687169,4.231866964,0.833333333,0.625,0,100,99.84116858,5.483480779,46.75976563,15077.24023,4.108859775,4.30125005
2014/6/10,14994.7998,121300000,15068.67402,14613.10044,15365.15045,13861.05043,59.15591772,14872.29463,14680.26851,192.0261187,133.7188159,58.3073028,-0.854272648,-0.452347925,0.784130919,3.056943324,0.75,0.625,16.43329412,73.71950602,91.08100392,3.682918163,-129.2001953,15124,4.231866964,4.108859775
2014/6/11,15069.48047,99500000,15068.97813,14646.28647,15417.15124,13875.42171,55.91332284,14902.63091,14709.09903,193.5318861,145.68143,47.85045613,0.498043755,0.004459794,1.021859709,3.302282994,0.75,0.625,8.237693186,88.91023183,87.54324595,3.197810737,74.68066406,14994.7998,3.056943324,4.231866964
2014/6/12,14973.53027,132400000,15047.81016,14680.05249,15446.11917,13913.98581,36.88953126,14913.53851,14728.68653,184.8519801,153.51554,31.33644014,-0.636718668,-0.52839637,0.190007614,2.418133711,0.666666667,0.583333333,28.85433599,19.99698848,60.87557545,2.302533341,-95.95019531,15069.48047,3.302282994,3.056943324
2014/6/13,15097.83984,172200000,15051.93008,14730.11499,15467.44576,13992.78422,51.95227743,14941.89256,14756.03122,185.8613417,159.9847004,25.87664137,0.830195472,0.276906185,0.781887798,2.990054084,0.666666667,0.625,5.321213542,82.61433921,63.84051984,2.909761418,124.3095703,14973.53027,2.418133711,3.302282994
2014/6/16,14933.29004,116000000,15013.78809,14776.45747,15438.71211,14114.20283,38.67336918,14940.5691,14769.1615,171.407594,162.2692791,9.13831488,-1.089889722,-0.657701359,-0.45582702,1.720746376,0.583333333,0.583333333,38.79213935,0,34.2037759,1.713493495,-164.5498047,15097.83984,2.990054084,2.418133711
2014/6/17,14975.96973,107400000,15010.02207,14821.49346,15404.66658,14238.32033,38.27706052,14946.01535,14784.48063,161.5347171,162.1223667,-0.587649547,0.285802307,-0.209997208,-0.361499488,1.846641153,0.666666667,0.625,30.11070301,22.37936985,34.99790302,2.348147372,42.6796875,14933.29004,1.720746376,2.990054084
2014/6/18,15115.7998,118600000,15019.28594,14875.17495,15348.90303,14401.44687,59.42367601,14972.13603,14809.02279,163.1132419,162.3205417,0.79270018,0.933696319,0.586572765,0.468622377,2.559975403,0.666666667,0.666666667,1.667994255,95.70017461,39.35984816,1.204344183,139.8300781,14975.96973,1.846641153,1.720746376
2014/6/19,15361.16016,189900000,15096.81191,14926.34346,15377.37034,14475.31658,67.9455505,15031.9859,14849.92185,182.064043,166.269242,15.79480103,1.623204559,1.889693387,1.914896341,3.853455384,0.666666667,0.708333333,0,100,72.69318149,2.174436079,245.3603516,15115.7998,2.559975403,1.846641153
2014/6/20,15349.41992,190000000,15147.12793,14970.70596,15404.59586,14536.81606,75.79994986,15080.8219,14886.92171,193.9001899,171.7954316,22.10475836,-0.076428045,1.390500558,1.678778233,3.382967583,0.583333333,0.708333333,2.743878084,97.25612192,97.65209884,1.867936746,-11.74023438,15361.16016,3.853455384,2.559975403
2014/6/23,15369.28027,120000000,15234.32598,15009.04399,15441.52668,14576.56131,71.74931964,15125.20011,14922.65198,202.5481372,177.9459727,24.6021645,0.129388287,1.219211564,1.647664739,3.14216865,0.583333333,0.708333333,0,100,99.08537397,1.922561447,19.86035156,15349.41992,3.382967583,3.853455384
2014/6/24,15376.24023,122700000,15314.38008,15046.03003,15471.21367,14620.84639,97.48296258,15163.82167,14956.25111,207.5705641,183.870891,23.69967314,0.045284885,0.775082247,1.526389289,2.805375877,0.666666667,0.75,0,100,99.08537397,1.983121548,6.959960938,15369.28027,3.14216865,3.382967583
2014/6/25,15266.61035,108400000,15344.54219,15075.81304,15474.34431,14677.28176,77.24513074,15179.63531,14979.24068,200.3946337,187.1756395,13.2189942,-0.712982375,-0.260074593,0.723487228,1.808957487,0.583333333,0.708333333,24.74993441,75.25006559,91.75002186,0.942940701,-109.6298828,15376.24023,2.805375877,3.14216865
2014/6/26,15308.49023,105400000,15334.0082,15107.15156,15474.11831,14740.18482,72.12641938,15199.45915,15003.62954,195.8296119,188.906434,6.923177866,0.274323388,-0.195868101,0.825903042,1.848733889,0.666666667,0.708333333,15.2951733,84.7048267,86.65163076,2.091994783,41.87988281,15266.61035,1.808957487,2.805375877
2014/6/27,15095,131000000,15283.12422,15130.28257,15426.03977,14834.52537,17.02351626,15183.38851,15010.39772,172.9907913,185.7233055,-12.73251417,-1.394587128,-1.30228353,-0.594125359,0.291445173,0.583333333,0.666666667,63.49251843,29.73745782,63.23078337,0.169345793,-213.4902344,15308.49023,1.848733889,1.808957487
2014/6/30,15162.09961,102000000,15241.68809,15141.59155,15423.74017,14859.44293,29.59117663,15180.11329,15021.63489,158.4783988,180.2743241,-21.79592532,0.444515465,-0.660775396,-0.255469446,0.590897939,0.666666667,0.666666667,48.34417667,23.85846731,46.10025061,1.259351218,67.09960938,15095,0.291445173,1.848733889
2014/7/1,15326.2002,137500000,15231.68008,15156.18906,15444.7495,14867.62863,46.42880273,15202.5882,15044.19529,158.3929141,175.8980421,-17.505128,1.082307795,0.461640035,0.698009672,1.495759792,0.666666667,0.666666667,11.29698995,82.20736831,45.26776448,1.512536588,164.1005859,15162.09961,0.590897939,0.291445173
2014/7/2,15369.96973,116800000,15252.35195,15171.28955,15471.18717,14871.39193,49.5100934,15228.33921,15068.32673,160.012478,172.7209293,-12.70845127,0.285586321,0.755446908,0.744715143,1.59268289,0.75,0.666666667,1.41562367,97.77040869,67.94541477,2.924202814,43.76953125,15326.2002,1.495759792,0.590897939
2014/7/3,15348.29004,114200000,15260.31191,15184.73555,15490.98937,14878.48173,57.39826065,15246.79318,15089.06475,157.7284294,169.7224293,-11.99399996,-0.141052246,0.52362206,0.398433174,1.249751895,0.666666667,0.666666667,6.310008576,90.0618077,90.0131949,2.486118223,-21.6796875,15369.96973,1.59268289,1.495759792
2014/7/4,15437.12988,108800000,15328.73789,15202.73003,15523.55043,14881.90963,60.73823479,15276.07575,15114.84735,161.2283966,168.0236228,-6.795226136,0.578825677,0.963704462,0.802997686,1.695709226,0.666666667,0.666666667,0,100,95.94407213,2.125789454,88.83984375,15348.29004,1.249751895,1.59268289
2014/7/7,15379.44043,84000000,15372.20605,15215.50205,15543.03657,14887.96753,82.09094014,15291.97801,15134.44684,157.531168,165.9251318,-8.393963856,-0.373705822,0.275488017,0.416302232,1.219759755,0.583333333,0.625,16.86185745,83.13814255,91.06665008,0.119003208,-57.68945313,15437.12988,1.695709226,1.249751895
2014/7/8,15314.41016,117700000,15369.84805,15231.48257,15545.28508,14917.68005,67.26448762,15295.42911,15147.77746,147.6516517,162.2704358,-14.61878411,-0.422839009,-0.313510292,0.01075396,0.723690216,0.583333333,0.583333333,35.86933873,64.13066127,82.42293461,-0.228085268,-65.03027344,15379.44043,1.219759755,1.695709226
2014/7/9,15302.65039,118300000,15356.38418,15243.14106,15549.23316,14937.04897,45.92237377,15296.54007,15159.24953,137.2905491,157.2744584,-19.98390939,-0.07678889,-0.3646027,-0.029793454,0.584799188,0.5,0.541666667,39.30656132,60.69343868,69.3207475,-0.43352637,-11.75976563,15314.41016,0.723690216,1.219759755
2014/7/10,15216.46973,112900000,15330.02012,15255.28804,15535.83474,14974.74133,26.82526951,15284.22156,15163.48806,120.7335006,149.9662669,-29.23276629,-0.563174756,-0.760417939,-0.506260787,-0.019793121,0.416666667,0.541666667,64.49601959,19.76877545,48.19762513,-1.039073957,-86.18066406,15302.65039,0.584799188,0.723690216
2014/7/11,15164.04004,123600000,15275.40215,15258.59805,15533.1338,14984.06229,24.54616099,15265.73209,15163.52895,102.2031485,140.4136432,-38.2104947,-0.344558813,-0.903891694,-0.793630304,-0.375204444,0.416666667,0.5,79.82051772,0,26.82073804,-0.67186042,-52.4296875,15216.46973,-0.019793121,0.584799188
2014/7/14,15296.82031,96300000,15258.87813,15276.77456,15507.37262,15046.1765,32.71496664,15270.5149,15173.40238,97.1125167,131.7534179,-34.6409012,0.875625975,0.116817219,0.081413876,0.414118101,0.416666667,0.541666667,41.01061537,48.62146157,22.79674568,-0.076231697,132.7802734,15164.04004,-0.375204444,-0.019793121
2014/7/15,15395.16016,101000000,15275.02813,15297.73408,15487.79876,15107.66941,51.76024687,15289.69109,15189.82888,99.86220848,125.375176,-25.51296754,0.642877681,0.743171005,0.560245056,0.969715716,0.5,0.541666667,12.26719111,84.63153152,44.41766436,1.988474039,98.33984375,15296.82031,0.414118101,-0.375204444
2014/7/16,15379.2998,98200000,15290.35801,15310.90908,15484.52024,15137.29792,58.16528913,15303.47705,15203.86377,99.6132813,120.2227971,-20.60951577,-0.103021673,0.568210537,0.338018376,0.753973387,0.416666667,0.541666667,16.90296026,78.82379025,70.69226111,1.432520567,-15.86035156,15395.16016,0.969715716,0.414118101
2014/7/17,15370.25977,102500000,15321.11602,15311.36406,15485.54636,15137.18176,58.56615409,15313.75131,15216.1894,97.56191608,115.6906209,-18.12870479,-0.058780563,0.435090253,0.255023487,0.619926269,0.333333333,0.5,24.31372967,89.22621236,84.22717804,0.28747876,-9.040039063,15379.2998,0.753973387,0.969715716
2014/7/18,15215.70996,92200000,15331.45,15304.67856,15482.72626,15126.63087,49.91795188,15298.66803,15216.15388,82.51414505,109.0553257,-26.54118066,-1.005511989,-0.573973937,-0.669765679,-0.468493035,0.25,0.5,81.07951538,22.35630654,63.46876972,-1.003643913,-154.5498047,15370.25977,0.619926269,0.753973387
2014/7/22,15343.28027,115400000,15340.74199,15303.37856,15479.89362,15126.86351,66.65366133,15305.53145,15225.57065,79.96079786,103.2364201,-23.27562228,0.838411831,0.064294594,0.165760644,0.265611974,0.333333333,0.5,34.36583656,77.55284852,63.04512247,-0.032640546,127.5703125,15215.70996,-0.468493035,0.619926269
2014/7/23,15328.55957,100100000,15327.42188,15300.99453,15474.77566,15127.2134,53.77775401,15309.07424,15233.19946,75.87477691,97.76409149,-21.88931459,-0.095942347,-0.0661856,0.128800436,0.111419109,0.25,0.458333333,39.75626153,71.18356171,57.03090559,-0.703306336,-14.72070313,15343.28027,0.265611974,-0.468493035
2014/7/24,15284.41992,122000000,15308.4459,15301.88501,15475.13396,15128.63606,34.86662645,15305.28127,15236.99357,68.28769706,91.8688126,-23.58111555,-0.287956923,-0.233905775,-0.107858968,-0.156008171,0.25,0.416666667,55.9193117,52.0854196,66.94060994,-0.617841125,-44.13964844,15328.55957,0.111419109,0.265611974
2014/7/25,15457.87012,119900000,15325.96797,15309.354,15495.49804,15123.20997,57.50474783,15328.75647,15253.35479,75.40167917,88.57538592,-13.17370675,1.134816998,0.812087266,0.946861703,0.94724046,0.333333333,0.458333333,0,100,74.42299377,0.936764521,173.4501953,15284.41992,-0.156008171,0.111419109
2014/7/28,15529.40039,115600000,15388.70605,15331.07402,15513.43937,15148.70868,63.57945682,15359.62477,15273.80262,85.82215216,88.02473917,-2.202587003,0.462743398,1.103700624,1.288997728,1.370200979,0.416666667,0.458333333,0,100,84.0284732,1.48176946,71.53027344,15457.87012,0.94724046,-0.156008171
2014/7/29,15618.07031,98800000,15443.66406,15353.87256,15558.66741,15149.07771,88.68246574,15399.38562,15299.30393,100.0816943,90.43613019,9.645564078,0.570980976,1.238981696,1.645463478,1.881993611,0.5,0.458333333,0,100,100,2.6392494,88.66992188,15529.40039,1.370200979,0.94724046
2014/7/30,15646.23047,117500000,15507.19824,15369.87407,15610.41142,15129.33673,86.00798111,15437.36175,15325.00219,112.3595623,94.82081661,17.53874568,0.180304965,1.090655178,1.563131638,1.960486043,0.583333333,0.5,0,100,100,3.179828255,28.16015625,15618.07031,1.881993611,1.370200979
2014/7/31,15620.76953,154100000,15574.46816,15382.41406,15646.64675,15118.18138,83.86676174,15465.57833,15346.91088,118.6674518,99.59014364,19.07730813,-0.162728892,0.609570836,1.220484873,1.708326499,0.5,0.458333333,5.280266039,94.08601053,98.02867018,2.117755273,-25.4609375,15646.23047,1.960486043,1.881993611
2014/8/1,15523.11035,143300000,15587.51621,15391.15508,15661.78303,15120.52712,74.61077917,15474.42941,15359.96269,114.4667189,102.5654587,11.90126022,-0.62518802,-0.274948147,0.518216813,0.955204331,0.416666667,0.458333333,28.59796803,65.97110884,86.68570646,0.831106621,-97.65917969,15620.76953,1.708326499,1.960486043
2014/8/4,15474.5,123600000,15576.53613,15393.02358,15665.40579,15120.64138,52.3091234,15474.44027,15368.44694,105.9933336,103.2510337,2.742299902,-0.31314827,-0.604933589,0.151996128,0.55394137,0.416666667,0.416666667,39.88903331,52.53580355,70.86430764,0.619015147,-48.61035156,15523.11035,0.955204331,1.708326499
2014/8/5,15320.30957,131500000,15516.98398,15390.06704,15664.2525,15115.88159,26.38731122,15450.72786,15364.88121,85.84664886,99.77015671,-13.92350785,-0.996416231,-1.37456192,-0.819215231,-0.446406645,0.416666667,0.375,75.70391945,9.919458885,42.80879043,-0.324979513,-154.1904297,15474.5,0.55394137,0.955204331
2014/8/6,15159.79004,135500000,15419.6959,15382.33604,15672.85161,15091.82046,5.472235559,15405.96819,15349.68927,56.27892303,91.07190997,-34.79298694,-1.047756447,-1.925683661,-1.828772085,-1.433394125,0.416666667,0.333333333,100,0,20.81842081,-0.367514378,-160.5195313,15320.30957,-0.446406645,0.55394137
2014/8/7,15232.37012,143100000,15342.01602,15378.82202,15674.75765,15082.88639,12.98343748,15379.2608,15340.99896,38.2618344,80.50989486,-42.24806046,0.478767041,-1.014426825,-1.299686158,-0.930377988,0.416666667,0.375,85.07934915,14.92065085,8.280036579,-0.722858178,72.58007813,15159.79004,-1.433394125,-0.446406645
2014/8/8,14778.37012,177200000,15193.06797,15356.91704,15747.42367,14966.41041,7.349437979,15286.81608,15299.32275,-12.50667474,61.90658094,-74.41325568,-2.980494805,-3.080421065,-3.956111016,-3.711247465,0.416666667,0.333333333,100,0,4.973550285,-3.589309554,-454,15232.37012,-0.930377988,-1.433394125
2014/8/11,15130.51953,114600000,15124.27188,15355.24102,15749.31595,14961.16608,34.19585033,15262.77045,15286.81881,-24.04835486,44.71559378,-68.76394864,2.382870447,-0.34331109,-1.585481811,-1.35014659,0.5,0.375,59.42326281,40.57673719,18.49912935,-1.006910249,352.1494141,14778.37012,-3.711247465,-0.930377988
