Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2018/2/23,31267.16992,1667179100,31130.76016,31405.24893,33784.85217,29025.64568,75.10216669,30999.05729,31116.25879,-117.2014975,-93.08410995,-24.11738756,0.973627052,0.770061642,2.418525953,-1.084910212,0.5,0.5,42.47442161,91.64812334,89.33656963,-3.033165101,301.4902344,30965.67969,33962.2171,-2.148937719
2018/2/26,31498.59961,2025591300,31207.39414,31347.45645,33658.03955,29036.87334,70.48753641,31075.90995,31144.58033,-68.67037522,-88.201363,19.53098779,0.740168324,0.982727051,2.922852086,-0.253334581,0.583333333,0.5,26.80298018,100,89.33656963,2.95200945,231.4296875,31267.16992,33784.85217,-1.084910212
2018/2/27,31268.66016,2579124300,31286.4,31253.1834,33409.95854,29096.40826,53.7757697,31105.56383,31153.77143,-48.20759617,-80.20260964,31.99501346,-0.729998971,0.163545579,1.909157232,-0.834316238,0.583333333,0.458333333,11.27724263,86.14046364,92.59619566,3.117945869,-229.9394531,31498.59961,33658.03955,-0.253334581
2018/2/28,30844.7207,2407877200,31168.96602,31147.0749,33160.19507,29133.95473,49.34629958,31065.43412,31130.87878,-65.44466189,-77.25102009,11.8063582,-1.35579667,-1.179215695,0.420167684,-1.908416352,0.5,0.416666667,32.06909896,33.48129133,73.20725166,1.292068206,-423.9394531,31268.66016,33409.95854,-0.834316238
2018/3/1,31044.25,2116269800,31184.68008,31068.92295,32967.31475,29170.53115,39.53758566,31062.17502,31124.46183,-62.28681036,-74.25817814,11.97136779,0.646883137,-0.333663196,0.650107489,-1.022795661,0.583333333,0.416666667,22.28330421,30.51471686,50.04549061,5.208283483,199.5292969,30844.7207,33160.19507,-1.908416352
2018/3/2,30583.44922,2955637100,31047.93594,30953.73193,32667.40508,29240.05879,39.65338945,30988.5249,31084.38683,-95.86192563,-78.57892764,-17.28299799,-1.484335364,-1.611819782,-1.144036272,-2.222944636,0.583333333,0.416666667,44.88300228,0,21.33200273,3.814774071,-460.8007813,31044.25,32967.31475,-1.022795661
2018/3/5,29886.39063,2279546200,30725.49414,30815.94697,32402.91574,29228.97821,19.21610157,30818.96578,30995.64637,-176.6805855,-98.19925922,-78.48132631,-2.279202024,-3.137173793,-3.409355675,-4.033743215,0.5,0.375,79.06982313,0,10.17157229,0.157044462,-697.0585938,30583.44922,32667.40508,-2.222944636
2018/3/6,30510.73047,2270403000,30573.9082,30711.39453,32073.57551,29349.21355,31.25917516,30771.54496,30959.72667,-188.1817066,-116.1957487,-71.98595792,2.089043979,-0.583158928,-1.390241475,-1.705954591,0.5,0.416666667,59.54353671,38.72573902,12.90857967,-0.015956234,624.3398438,29886.39063,32402.91574,-4.033743215
2018/3/7,30196.91992,2135337500,30444.34805,30608.97949,31790.50136,29427.45762,30.29511489,30683.14111,30903.22247,-220.0813556,-136.9728701,-83.10848551,-1.028525185,-1.029648684,-2.162434188,-2.401148508,0.416666667,0.416666667,80.73889304,19.26110696,19.32894866,-2.951943055,-313.8105469,30510.73047,32073.57551,-1.705954591
2018/3/8,30654.51953,1529390000,30366.40195,30611.93447,31793.60152,29430.26742,46.54573934,30678.73779,30884.80003,-206.0622359,-150.7907432,-55.27149264,1.515385048,0.574627578,-0.621025958,-0.623339978,0.5,0.416666667,52.35550021,47.64449979,35.21044859,-0.709703789,457.5996094,30196.91992,31790.50136,-2.401148508
2018/3/9,30996.21094,1470749100,30448.9543,30645.58506,31830.77181,29460.39831,49.17039599,30727.57981,30893.05269,-165.4728734,-153.7271693,-11.74570411,1.114652624,1.722406371,0.605119226,0.708258132,0.5,0.458333333,31.1615105,80.28971828,49.06510834,-1.386107163,341.6914063,30654.51953,31793.60152,-0.623339978
2018/3/12,31594.33008,2173275800,30790.54219,30702.73809,31953.36732,29452.10885,66.66679547,30860.92601,30944.99916,-84.07315223,-139.7963659,55.72321363,1.92965244,3.115158232,2.372379052,2.791770626,0.583333333,0.5,0,100,75.97807269,2.030152081,598.1191406,30996.21094,31830.77181,0.708258132
2018/3/13,31601.44922,2111965400,31008.68594,30807.43955,31988.96531,29625.91379,86.60463278,30974.85266,30993.62509,-18.77243468,-115.5915796,96.81914494,0.022532969,2.185095259,2.303106412,2.904738605,0.583333333,0.541666667,0,100,93.42990609,1.069106343,7.119140625,31594.33008,31953.36732,2.791770626
2018/3/14,31435.00977,1707584900,31256.30391,30906.2085,31941.79197,29870.62502,74.51956307,31045.64606,31026.32025,19.32580571,-88.60810255,107.9339083,-0.526682976,1.143091473,1.781753931,2.246282102,0.5,0.541666667,9.704592819,90.29540718,96.76513573,-0.201881495,-166.4394531,31601.44922,31988.96531,2.904738605
2018/3/15,31541.09961,1496758200,31433.61992,30991.28701,31938.14295,30044.43108,90.07551354,31121.86968,31064.45206,57.41762483,-59.40295708,116.8205819,0.337489457,0.758150707,2.050239719,2.422297157,0.583333333,0.583333333,3.518807439,96.48119256,95.59219991,0.871285983,106.0898438,31435.00977,31941.79197,2.246282102
2018/3/16,31501.9707,2345452800,31534.77188,31040.60557,31985.96833,30095.24281,83.66674581,31180.34676,31096.86084,83.48591652,-30.82518236,114.3110989,-0.124056887,0.181138379,1.743340691,2.150016024,0.583333333,0.541666667,5.800298368,92.91730576,93.23130183,2.130834662,-39.12890625,31541.09961,31938.14295,2.422297157
2018/3/19,31513.75977,1440844700,31518.65781,31060.52207,32027.87895,30093.16519,77.86458936,31231.64107,31127.74225,103.8988233,-3.880381217,107.7792046,0.037423254,-0.055532464,1.652961161,1.91198311,0.583333333,0.583333333,5.112912961,93.75666614,94.38505482,1.512388818,11.7890625,31501.9707,31985.96833,2.150016024
2018/3/20,31549.92969,1746878600,31508.35391,31094.33701,32080.30041,30108.37361,43.94655135,31280.60855,31159.01539,121.5931592,21.21432688,100.3788324,0.114775013,0.082667185,1.505925518,1.742386979,0.666666667,0.625,3.003951669,94.55930763,93.74442651,3.160142147,36.16992188,31513.75977,32027.87895,1.91198311
2018/3/21,31414.51953,2309098300,31504.25586,31093.46846,32078.27082,30108.6661,31.11925635,31301.21024,31177.94162,123.2686161,41.62518472,81.64343138,-0.429193211,-0.248296512,0.657868201,1.091778519,0.666666667,0.583333333,10.89931785,69.11469527,85.81022301,5.113126324,-135.4101563,31549.92969,32080.30041,1.742386979
2018/3/22,31071.05078,2103533300,31410.24609,31098.73701,32081.87443,30115.5996,22.92200074,31265.80109,31170.02378,95.7773089,52.45560956,43.32169934,-1.093343954,-1.148522525,-0.591397767,-0.087913492,0.583333333,0.541666667,30.925966,0,54.55800097,1.836469674,-343.46875,31414.51953,32078.27082,1.091778519
2018/3/23,30309.28906,3522395400,31171.70977,31050.84297,32088.31851,30013.36743,3.612107732,31118.64539,31106.26566,12.37973955,44.44043556,-32.060696,-2.45167672,-2.938071035,-3.057618731,-2.432052278,0.583333333,0.5,91.99951607,0,23.03823176,0.372121199,-761.7617188,31071.05078,32081.87443,-0.087913492
2018/3/26,30548.76953,2317282800,30978.71172,31003.35146,32041.45169,29965.25124,18.81049673,31030.97218,31064.96965,-33.99746103,28.75285624,-62.75031727,0.790122356,-1.670911421,-2.264107236,-1.618278171,0.583333333,0.541666667,74.94893057,19.30296848,6.434322825,-0.344973601,239.4804688,30309.28906,32088.31851,-2.432052278
2018/3/27,30790.83008,2049855800,30826.8918,30979.45996,32014.02469,29944.89523,29.44297082,30994.02725,31044.66301,-50.63576588,12.87513182,-63.51089769,0.79237413,-0.505916631,-1.435702523,-0.753353111,0.583333333,0.541666667,62.73364309,38.81390033,19.3722896,-0.662599889,242.0605469,30548.76953,32041.45169,-1.618278171
2018/3/28,30022.5293,2209028300,30548.49375,30938.35039,32053.28381,29823.41697,19.33525053,30844.56602,30968.9494,-124.3833803,-14.5765706,-109.8068097,-2.495225946,-2.183904362,-3.490449569,-3.107049613,0.5,0.541666667,100,0,19.3722896,-4.974945749,-768.3007813,30790.83008,32014.02469,-0.753353111
2018/3/29,30093.38086,2167328200,30352.95977,30890.80693,32063.23465,29718.37921,22.77040077,30728.99907,30904.09247,-175.0933993,-46.67993634,-128.413463,0.235994649,-1.24459424,-2.870305004,-2.724845982,0.5,0.541666667,95.51265637,4.638702657,14.484201,-4.772149369,70.8515625,30022.5293,32053.28381,-3.107049613
2018/4/3,30180.09961,1908642500,30327.12188,30870.63945,32076.90936,29664.36955,29.46335235,30644.553,30850.46337,-205.9103698,-78.52602302,-127.3843467,0.288165529,-0.475034359,-2.260510566,-2.270983019,0.583333333,0.541666667,90.0203734,10.31624147,4.984981375,-3.99207815,86.71875,30093.38086,32063.23465,-2.724845982
2018/4/4,29518.68945,1816082600,30121.10586,30852.25439,32127.22092,29577.28787,30.8925198,30471.34323,30751.81345,-280.4702267,-118.9148638,-161.5553629,-2.19154398,-2.231336565,-3.877875247,-4.186528043,0.5,0.541666667,100,0,4.984981375,-6.41198367,-661.4101563,30180.09961,32076.90936,-2.270983019
2018/4/6,29844.93945,1698284100,29931.92773,30818.96484,32160.87238,29477.05731,33.67431906,30374.97341,30684.6376,-309.6641861,-157.0647282,-152.5994579,1.105231994,-0.765213879,-2.376537715,-2.996403974,0.583333333,0.583333333,83.93838432,21.01636997,10.44420381,-5.260087585,326.25,29518.68945,32127.22092,-4.186528043
2018/4/9,30229.58008,1841272200,29973.33789,30820.59785,32159.5497,29481.646,37.78920745,30352.60521,30650.92964,-298.3244271,-185.316668,-113.0077591,1.288796801,0.827321242,-0.771020234,-1.63770312,0.583333333,0.583333333,65.00213943,55.88144982,25.6326066,-4.074980888,384.640625,29844.93945,32160.87238,-2.996403974
