Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
2016/3/17,20503.81055,1696007800,20337.04375,19804.41289,20753.06548,18855.7603,78.62628719,20103.50315,19870.29534,233.2078115,142.6692641,90.53854737,1.214902667,1.112212236,1.688953756,4.16482906,0.416666667,0.458333333,0,100,76.96983128,5.649114085,246.1113281,20257.69922
2016/3/18,20671.63086,2091585400,20431.45,19873.71943,20862.29792,18885.14094,82.9600042,20190.90741,19929.65352,261.2538878,166.3861888,94.86769896,0.818483531,1.367259416,2.238940752,4.629044249,0.416666667,0.458333333,0,100,86.86827998,3.340120235,167.8203125,20503.81055
2016/3/21,20684.15039,1520109900,20481.21211,19934.72246,20964.38374,18905.06119,78.84807695,20266.79095,19985.54218,281.2487662,189.3587043,91.89006188,0.060563829,1.028563619,1.988795402,4.348652903,0.5,0.458333333,0,100,100,3.722793945,12.51953125,20671.63086
2016/3/22,20666.75,1303372700,20556.8082,19997.321,21045.00068,18949.64131,68.61730211,20328.32311,20036.00202,292.3210897,209.9511814,82.36990832,-0.08412427,0.753772867,1.698217874,3.880449184,0.416666667,0.458333333,2.343832214,97.51327241,99.1710908,2.428795592,-17.40039063,20684.15039
2016/3/23,20615.23047,1185399100,20628.31445,20068.46006,21080.48198,19056.43814,81.00638871,20372.4627,20078.90783,293.5548724,226.6719196,66.88295283,-0.249287049,0.236720464,1.255560393,3.350457478,0.416666667,0.416666667,9.849495621,85.77653271,94.42993504,2.259504347,-51.51953125,20666.75
2016/3/24,20345.60938,1460918200,20596.67422,20141.30303,21001.52576,19281.08029,55.74582053,20368.33142,20098.6635,269.6679212,235.2711199,34.39680131,-1.307873294,-1.144673781,-0.205174139,1.773393515,0.416666667,0.416666667,48.38163132,20.61435448,67.9680532,1.669180023,-269.6210938,20615.23047
2016/3/29,20366.30078,1303869800,20535.6082,20191.41055,20978.3487,19404.4724,37.25752097,20368.01902,20118.48848,249.5305312,238.1230022,11.40752906,0.101699614,-0.93382266,-0.254551843,1.685682434,0.5,0.416666667,45.42457754,25.4663534,43.95241353,1.850551153,20.69140625,20345.60938
2016/3/30,20803.39063,2058668600,20559.45625,20275.98359,20933.63805,19618.32913,58.14496519,20434.99926,20169.22198,265.7772869,243.6538591,22.12342781,2.146142534,1.084302386,1.546710395,3.568812777,0.583333333,0.458333333,0,100,48.69356929,4.098045909,437.0898438,20366.30078
2016/3/31,20776.69922,1781006800,20581.44609,20344.44551,20903.94364,19784.94737,55.62255715,20487.56849,20214.22029,273.3481966,249.5927266,23.75546999,-0.128303154,0.87899964,1.178907646,3.09712254,0.5,0.458333333,3.259140547,94.16939723,73.21191688,2.856985388,-26.69140625,20803.39063
2016/4/1,20498.91992,1633594800,20558.18398,20369.21699,20909.68533,19828.74865,42.25441998,20489.31486,20235.30915,254.0057096,250.4753232,3.530386389,-1.336975108,-0.334368148,-0.199579661,1.381228614,0.416666667,0.458333333,50.42650441,33.48991399,75.88643707,0.311128068,-277.7792969,20776.69922
2016/4/5,20177,1876707600,20524.46211,20380.979,20893.22717,19868.73084,33.81471618,20441.26642,20230.98996,210.2764658,242.4355517,-32.15908594,-1.570423823,-1.549932635,-1.722303762,-0.377757727,0.416666667,0.416666667,100,0,42.55310374,-0.550893592,-321.9199219,20498.91992
2016/4/6,20206.66992,1338272400,20492.53594,20382.47754,20892.49704,19872.45804,43.76305264,20405.17465,20229.18847,175.9861806,229.1456775,-53.15949689,0.147048233,-1.293636837,-1.557398026,-0.455455385,0.5,0.458333333,95.26335154,4.736648457,12.74218748,-0.251900753,29.66992188,20177
2016/4/7,20266.05078,1493940300,20385.06797,20387.79404,20890.58002,19885.00806,45.65087715,20383.77098,20231.91901,151.8519667,213.6869354,-61.83496865,0.293867617,-0.922706343,-1.172712819,-0.338566577,0.5,0.458333333,85.7835067,14.2164933,6.31771392,-1.15958819,59.38085938,20206.66992
2016/4/8,20370.40039,1435612200,20303.8082,20405.73506,20878.23833,19933.23179,23.59142598,20381.71397,20242.17689,139.5370732,198.8569629,-59.31988975,0.514898588,-0.059967657,-0.542103718,0.099333335,0.5,0.458333333,69.12463519,30.87536481,16.60950219,-1.457216757,104.3496094,20266.05078
2016/4/11,20440.81055,1234203400,20292.18633,20427.9626,20861.54666,19994.37853,30.55096275,20390.80575,20256.8905,133.9152508,185.8686205,-51.95336967,0.345649349,0.561669853,-0.099418262,0.342795944,0.5,0.5,57.88402055,42.11597945,29.06927919,-1.176455591,70.41015625,20370.40039
